frame	x	y	width	height
2	224	135	63	74
3	224	136	63	74
4	226	138	63	74
5	227	139	63	74
6	227	138	63	74
7	226	137	63	74
8	225	135	63	74
9	223	131	63	74
10	223	127	60	70
11	222	120	60	70
12	222	115	60	70
13	215	115	60	70
14	214	113	60	70
15	218	104	60	70
16	226	96	63	74
17	234	89	63	74
18	235	93	63	74
19	236	93	66	77
20	236	99	66	77
21	232	101	69	81
22	233	106	69	81
23	235	113	69	81
24	235	114	69	81
25	235	117	69	81
26	234	120	69	81
27	240	103	69	81
28	243	106	69	81
29	244	107	69	81
30	243	109	73	85
31	243	110	73	85
32	242	116	73	85
33	240	115	73	85
34	239	114	73	85
35	238	111	73	85
36	240	103	77	89
37	245	93	77	89
38	249	91	77	89
39	251	93	73	85
40	253	93	73	85
41	254	95	69	81
42	256	97	69	81
43	257	100	69	81
44	258	107	69	81
45	258	113	69	81
46	258	118	73	85
47	260	124	73	85
48	264	132	73	85
49	269	142	73	85
50	270	150	73	85
51	275	155	73	85
52	275	162	73	85
53	278	160	73	85
54	285	154	73	85
55	288	152	73	85
56	292	149	69	81
57	294	143	69	81
58	291	140	69	81
59	272	117	73	85
60	269	116	69	81
61	265	116	69	81
62	265	118	69	81
63	268	121	69	81
64	269	121	69	81
65	272	124	69	81
66	271	126	69	81
67	271	128	69	81
68	272	129	69	81
69	273	131	66	77
70	274	132	66	77
71	275	134	66	77
72	276	135	66	77
73	278	138	66	77
74	278	139	66	77
75	278	139	66	77
76	279	141	66	77
77	281	140	66	77
78	281	139	66	77
79	282	137	66	77
80	283	129	66	77
81	286	123	66	77
82	284	116	66	77
83	284	109	66	77
84	285	102	66	77
85	285	101	66	77
86	284	101	66	77
87	283	99	66	77
88	284	98	66	77
89	285	97	66	77
90	285	96	69	81
91	287	99	66	77
92	288	103	66	77
93	288	108	66	77
94	289	112	66	77
95	289	115	66	77
96	287	117	69	81
97	287	123	69	81
98	287	127	69	81
99	287	129	69	81
100	286	131	69	81
101	286	132	69	81
102	286	126	69	81
103	284	118	73	85
104	283	111	73	85
