frame	PSR
2	5.34139
3	5.29474
4	5.10625
5	5.22115
6	5.00043
7	5.14161
8	5.11628
9	4.94168
10	5.13264
11	4.89161
12	5.02074
13	4.88164
14	4.80306
15	4.88928
16	4.78741
17	4.75142
18	4.74774
19	4.65512
20	4.57817
21	4.67436
22	4.76587
23	4.73781
24	4.79932
25	4.86754
26	4.83329
27	4.93026
28	4.80368
29	4.66466
30	4.52365
31	4.5347
32	4.29
33	4.51935
34	4.45688
35	4.59792
36	4.56938
37	4.45087
38	4.58417
39	4.48736
40	4.59802
41	4.36981
42	4.39255
43	4.3145
44	4.28594
45	4.19585
46	4.31004
47	4.28005
48	4.2461
49	4.06171
50	4.0446
51	4.06777
52	3.92978
53	4.17373
54	4.15835
55	4.13676
56	4.18751
57	4.15637
58	4.1957
59	4.09762
60	4.16455
61	4.21911
62	4.04237
63	4.01773
64	3.82716
65	3.89262
66	3.90945
67	3.82767
68	3.97474
69	3.99503
70	4.09955
71	4.12298
72	4.25104
73	4.04598
74	3.99785
75	4.26548
76	4.12036
77	4.09236
78	4.12992
79	4.08874
80	4.16873
81	4.1716
82	4.16913
83	4.13513
84	4.28105
85	4.17259
86	4.28516
87	4.21261
88	4.12417
89	4.05124
90	3.8445
91	3.85514
92	3.73626
93	3.89273
94	4.03923
95	4.27053
96	4.07305
97	4.25728
98	4.34852
99	4.25918
100	4.31407
101	4.24653
102	4.08383
103	4.20095
104	4.23211
105	4.21417
106	4.1283
107	4.04902
108	4.39925
109	4.4301
110	4.53141
111	4.40985
112	4.1323
113	4.22187
114	4.01683
115	4.0886
116	3.99895
117	4.04679
118	4.0416
119	4.14712
120	4.32138
121	4.22978
122	3.96568
123	4.1862
124	4.14541
125	4.18237
126	3.88147
127	4.0013
128	4.02965
129	4.1546
130	4.08441
131	4.17495
132	4.43928
133	4.27334
134	4.25178
135	4.2574
136	4.1545
137	4.14614
138	3.88368
139	3.89568
140	3.6948
141	3.59022
142	3.74486
143	3.74928
144	3.81675
145	3.7684
146	3.87625
147	3.93879
148	3.7479
149	3.84146
150	3.79869
151	3.70564
152	3.77849
153	3.6637
154	3.59847
155	3.73266
156	3.63826
157	3.84095
158	3.78187
159	3.72335
160	3.90429
161	3.75258
162	3.75639
163	3.582
164	3.58505
165	3.65511
166	3.69801
167	3.81828
168	3.63618
169	3.75865
170	3.63341
171	3.92859
172	3.82415
173	4.06391
174	4.0153
175	3.79886
176	3.97871
177	3.96153
178	4.05327
179	4.08128
180	3.95946
181	4.08338
182	4.06205
183	4.12873
184	4.01491
185	4.16183
186	3.87475
187	3.79604
188	3.73943
189	3.96347
190	4.07526
191	3.95792
192	4.06913
193	4.05208
194	4.05354
195	4.18844
196	4.14807
197	4.01496
198	4.10656
199	4.21943
200	4.18103
201	4.19499
202	4.16376
203	4.29314
204	4.33509
205	4.23225
206	4.20063
207	4.18614
208	4.13926
209	4.09665
210	4.05958
211	4.04543
212	4.04365
213	4.21368
214	4.19238
215	4.22737
216	4.22156
217	4.26999
218	4.17617
219	4.34008
220	4.13931
221	4.18161
222	4.13087
223	4.19489
224	4.42583
225	4.10309
226	4.12148
227	4.14501
228	4.02534
229	4.15646
230	4.21846
231	4.32018
232	4.0735
233	4.18895
234	4.07479
235	4.02545
236	4.16272
237	3.98549
238	4.0236
239	4.21938
240	3.91706
241	4.06818
242	4.00301
243	4.11692
244	3.97274
245	4.15774
246	4.00135
247	4.15081
248	4.13223
249	4.19799
250	4.15924
