frame	ave_fps
2	51.0268
3	54.079
4	50.6444
5	50.6902
6	50.8819
7	51.0448
8	51.8081
9	55.5665
10	58.6797
11	61.8917
12	64.7298
13	66.2008
14	68.1487
15	70.2021
16	71.9547
17	73.2297
18	75.0487
19	73.6671
20	72.4454
21	73.8832
22	74.9625
23	76.0089
24	77.0815
25	78.2673
26	79.0514
27	79.9579
28	80.9603
29	81.0333
30	80.6128
31	81.0951
32	81.8347
33	82.0563
34	82.8049
35	83.3482
36	83.9852
37	84.6974
38	85.1334
39	85.7188
40	86.402
41	86.8536
42	87.3659
43	87.9201
44	88.3166
45	88.8436
46	89.3821
47	89.6872
48	90.1933
49	90.6847
50	91.0084
51	91.4474
52	91.8811
53	92.2126
54	92.2906
55	92.6972
56	92.9627
57	93.2004
58	93.6011
59	93.842
60	93.8888
61	92.339
62	92.3975
63	92.4789
64	92.4337
65	92.6197
66	92.8509
67	93.1039
68	93.441
69	93.6754
70	93.8404
71	92.9809
72	93.0372
73	93.3595
74	93.6368
75	93.7982
76	94.0041
77	94.2917
78	94.4262
79	94.6729
80	94.9015
81	94.9791
82	95.2367
83	95.4446
84	95.6116
85	95.8896
86	95.9743
87	95.8812
88	96.0554
89	96.2514
90	96.3638
91	96.5024
92	96.6994
93	96.7624
94	96.6939
95	96.9131
96	97.101
97	97.2227
98	97.4128
99	97.6168
100	97.6721
101	97.8692
102	97.6399
103	96.9384
104	97.1428
105	97.2512
106	97.3614
107	97.5685
108	97.6807
109	97.765
110	97.9088
111	98.0467
112	98.1343
113	97.6607
114	97.5734
115	97.7594
116	97.7051
117	97.7952
118	97.9018
119	98.0359
120	97.9841
121	98.0811
122	98.2496
123	98.3413
124	98.4244
125	98.5682
126	98.697
127	98.7956
128	98.922
129	99.0074
130	99.0444
131	99.1365
132	99.2351
133	99.3327
134	99.4596
135	99.549
136	99.6151
137	99.7312
138	99.8225
139	99.8972
140	99.9897
141	100.102
142	100.163
143	100.262
144	100.305
145	99.4891
146	99.5805
147	99.6673
148	99.6979
149	99.7285
150	99.8311
151	99.8673
152	99.9081
153	100.007
154	100.075
155	99.4093
156	99.4216
157	99.4621
158	99.5323
159	99.5454
160	99.6119
161	99.7104
162	99.7733
163	99.8011
164	99.8998
165	99.9963
166	100.032
167	100.064
168	100.167
169	100.213
170	100.268
171	100.366
172	100.423
173	100.311
174	100.405
175	100.472
176	100.502
177	100.571
178	100.656
179	100.616
180	100.661
181	100.762
182	100.814
183	100.819
184	100.782
185	100.868
186	100.319
187	100.255
188	100.34
189	100.327
190	100.144
191	100.153
192	100.207
193	100.249
194	100.277
195	99.7834
196	99.7362
197	99.6129
198	99.2647
199	98.8578
200	98.6357
201	98.4911
202	98.4235
203	98.3863
204	98.4013
205	98.4759
206	98.4739
207	98.4461
208	98.4992
209	98.5468
210	98.5248
211	98.1163
212	97.8867
213	97.8511
214	97.803
215	97.8192
216	97.8795
217	97.8465
218	97.6846
219	96.6873
220	96.5237
221	96.3425
222	96.3972
223	96.3586
224	96.3502
225	96.2937
226	96.344
227	95.8055
228	95.7704
229	95.7465
230	95.7924
231	95.8501
232	95.8235
233	95.8515
234	95.9289
235	95.9724
236	95.9818
237	96.0449
238	96.1163
239	96.0745
240	96.0186
241	96.09
242	96.0413
243	95.7256
244	95.4645
245	95.4044
246	95.3811
247	95.3793
248	95.4367
249	95.4689
250	95.2864
