frame	x	y	width	height
1	397	186	36	30
2	398	186	34	29
3	399	186	33	29
4	400	186	32	28
5	401	186	31	28
6	402	186	30	27
7	404	186	29	27
8	403	185	29	27
9	403	185	29	27
10	403	185	30	27
11	403	185	30	27
12	403	185	30	27
13	403	185	31	28
14	403	185	31	27
15	403	185	31	27
16	403	185	31	27
17	403	185	31	26
18	403	185	31	26
19	403	185	32	26
20	402	184	31	26
21	402	184	31	26
22	402	184	31	26
23	401	184	31	26
24	401	184	31	26
25	401	184	31	26
26	400	184	31	25
27	400	184	31	25
28	400	184	31	24
29	399	184	31	24
30	399	184	31	23
31	399	184	31	23
32	399	184	31	23
33	399	184	32	23
34	399	185	33	23
35	399	185	33	23
36	399	185	34	23
37	400	186	35	24
38	399	186	35	23
39	399	186	35	23
40	399	187	35	23
41	399	187	35	22
42	399	187	35	22
43	399	188	36	22
44	398	188	35	22
45	398	188	34	23
46	398	188	34	24
47	398	188	33	24
48	398	188	32	25
49	398	189	32	26
50	397	187	33	27
51	396	186	34	29
52	395	185	36	31
53	394	184	37	32
54	394	182	38	34
55	393	181	40	36
56	392	182	40	35
57	392	182	41	35
58	391	183	42	34
59	391	183	42	34
60	390	184	43	33
61	390	184	43	32
62	389	184	44	32
63	389	185	44	32
64	388	185	44	32
65	388	185	44	32
66	387	185	44	32
67	387	186	45	32
68	386	186	44	32
69	386	186	44	31
70	385	186	43	31
71	384	186	43	31
72	384	186	42	30
73	383	186	42	30
74	382	186	42	30
75	382	186	43	30
76	381	186	43	31
77	380	187	43	31
78	379	187	44	31
79	378	187	44	31
80	376	186	45	32
81	375	186	47	33
82	373	185	48	34
83	371	185	49	36
84	369	184	50	37
85	368	184	51	38
86	367	185	51	37
87	366	185	50	37
88	365	186	50	36
89	364	187	50	36
90	364	187	49	35
91	363	188	49	35
92	361	188	50	35
93	360	188	51	34
94	358	189	52	34
95	356	189	53	34
96	355	189	54	33
97	353	189	55	33
98	352	189	55	33
99	351	189	55	33
100	350	189	55	33
101	349	189	55	33
102	348	189	55	33
103	347	189	54	33
104	345	190	55	33
105	343	190	55	33
106	342	190	55	33
107	340	190	55	33
108	339	191	55	33
109	337	191	55	33
110	336	192	55	31
111	335	193	55	30
112	334	194	55	28
113	334	195	54	27
114	332	195	55	28
115	330	195	57	29
116	329	196	56	28
117	328	197	55	27
118	325	196	56	29
119	323	196	57	31
120	321	195	57	32
121	319	195	58	34
122	317	195	59	34
123	315	195	59	34
124	313	195	60	35
125	311	196	60	35
126	309	196	61	35
127	307	196	61	35
128	306	197	61	35
129	305	197	61	36
130	303	197	61	36
131	302	197	62	36
132	301	198	62	36
133	299	198	62	37
134	297	198	63	37
135	295	198	63	36
136	293	198	64	36
137	291	199	65	36
138	289	199	66	36
139	286	199	67	36
140	284	198	67	36
141	282	198	68	37
142	279	197	69	37
143	277	197	70	38
144	275	196	71	39
145	272	196	72	39
146	270	197	73	38
147	268	198	73	37
148	266	199	74	35
149	264	199	74	34
150	262	200	75	33
151	260	201	75	32
152	257	201	75	32
153	255	201	75	33
154	253	201	75	34
155	251	201	75	34
156	249	201	75	35
157	247	201	76	36
158	244	201	76	35
159	241	202	76	35
160	239	203	77	34
161	236	203	78	34
162	233	204	78	33
163	231	205	79	33
164	228	204	79	33
165	226	204	78	34
166	224	203	79	34
167	222	203	79	35
168	220	202	78	35
169	218	202	79	36
170	215	202	80	35
171	213	203	81	35
172	210	203	82	35
173	208	204	83	34
174	205	204	84	34
175	203	205	85	34
176	200	204	84	34
177	198	204	84	35
178	195	204	83	36
179	193	204	83	36
180	190	204	82	37
181	188	204	82	38
182	185	204	82	37
183	182	204	82	37
184	179	205	82	37
185	176	205	83	37
186	173	205	83	37
187	170	206	83	37
188	166	207	83	37
189	163	207	84	36
190	160	208	84	36
191	157	209	84	36
192	154	210	84	36
193	151	211	85	36
194	148	210	85	37
195	145	210	85	38
196	143	210	86	40
197	140	210	86	41
198	137	210	87	43
199	135	210	87	44
200	132	210	88	44
201	129	210	88	44
202	126	209	89	45
203	123	209	89	45
204	120	209	90	45
205	117	209	90	45
206	115	209	90	45
207	113	209	90	44
208	110	209	90	44
209	108	209	90	44
210	106	210	90	44
211	103	210	90	44
212	101	209	91	44
213	98	209	92	45
214	95	209	92	45
215	92	208	93	46
216	89	208	94	46
217	86	207	95	46
218	84	207	96	47
219	83	206	96	48
220	81	206	96	49
221	79	205	97	50
222	77	205	97	51
223	75	204	97	52
224	72	205	98	51
225	70	206	98	50
226	67	207	99	49
227	64	208	99	48
228	62	209	100	48
229	59	210	100	47
230	56	210	101	48
231	53	210	102	48
232	50	210	103	49
233	47	210	103	49
234	43	210	104	50
235	40	211	105	50
236	37	210	106	51
237	34	210	106	52
238	31	210	107	52
239	28	209	108	53
240	25	209	109	54
241	23	209	109	54
242	20	209	110	55
243	17	208	111	55
244	14	208	110	55
245	12	208	110	55
246	9	209	110	55
247	7	209	109	55
248	5	209	109	55
249	2	209	108	55
250	0	209	108	55
251	-2	209	108	54
