frame	x	y	width	height
2	397	186	36	30
3	398	186	36	30
4	398	187	36	30
5	398	187	36	30
6	399	187	36	30
7	399	187	36	30
8	400	187	36	30
9	401	187	36	30
10	401	187	36	30
11	401	187	36	30
12	401	187	36	30
13	401	186	36	30
14	402	186	36	30
15	402	186	36	30
16	402	186	36	30
17	402	186	36	30
18	402	186	36	30
19	401	185	36	30
20	401	184	36	30
21	401	184	36	30
22	401	184	36	30
23	401	183	36	30
24	400	183	36	30
25	400	183	36	30
26	400	183	36	30
27	400	183	36	30
28	400	183	36	30
29	400	183	36	30
30	400	183	36	30
31	400	182	36	30
32	401	182	36	30
33	401	182	36	30
34	401	183	36	30
35	400	183	36	30
36	401	183	36	30
37	401	183	36	30
38	401	183	36	30
39	401	183	36	30
40	401	184	36	30
41	401	184	36	30
42	401	184	36	30
43	400	184	36	30
44	400	184	36	30
45	399	184	36	30
46	398	183	38	31
47	398	184	38	31
48	397	184	38	31
49	396	184	38	31
50	396	184	38	31
51	396	184	38	31
52	395	184	38	31
53	395	184	38	31
54	395	184	38	31
55	395	184	38	31
56	396	184	38	31
57	396	184	38	31
58	396	185	38	31
59	395	185	38	31
60	395	186	38	31
61	395	186	38	31
62	395	186	38	31
63	394	186	38	31
64	393	187	38	31
65	393	187	38	31
66	392	187	38	31
67	391	187	38	31
68	390	187	38	31
69	390	187	38	31
70	389	187	38	31
71	389	188	38	31
72	388	187	38	31
73	387	188	38	31
74	387	188	38	31
75	387	189	38	31
76	386	189	38	31
77	385	189	38	31
78	384	189	38	31
79	383	189	38	31
80	382	188	38	31
81	381	188	38	31
82	380	188	38	31
83	379	189	38	31
84	378	189	38	31
85	377	189	38	31
86	376	189	38	31
87	375	190	38	31
88	374	190	38	31
89	373	190	38	31
90	371	190	38	31
91	370	190	38	31
92	369	190	38	31
93	368	190	38	31
94	366	190	38	31
95	365	190	38	31
96	364	190	38	31
97	363	191	38	31
98	363	191	38	31
99	362	191	38	31
100	361	191	38	31
101	359	192	38	31
102	358	192	38	31
103	357	192	38	31
104	356	193	38	31
105	355	193	38	31
106	353	193	38	31
107	349	193	40	33
108	348	193	40	33
109	347	193	40	33
110	346	193	42	35
111	345	193	42	35
112	344	194	42	35
113	342	194	42	35
114	341	194	42	35
115	340	195	42	35
116	338	194	42	35
117	336	195	42	35
118	334	194	42	35
119	333	195	42	35
120	332	195	42	35
121	331	195	42	35
122	329	196	42	35
123	328	196	42	35
124	327	197	42	35
125	325	197	42	35
126	324	197	42	35
127	322	197	42	35
128	321	196	42	35
129	320	197	42	35
130	319	197	42	35
131	316	197	44	36
132	314	197	44	36
133	313	197	44	36
134	311	197	44	36
135	309	197	44	36
136	307	198	44	36
137	305	198	44	36
138	303	198	44	36
139	302	199	44	36
140	299	199	44	36
141	296	197	46	38
142	293	197	46	38
143	291	198	46	38
144	289	198	46	38
145	288	198	46	38
146	286	198	46	38
147	285	198	46	38
148	284	199	46	38
149	282	199	46	38
150	281	199	46	38
151	278	198	46	38
152	277	198	46	38
153	275	198	46	38
154	273	199	46	38
155	270	199	46	38
156	267	200	46	38
157	264	199	46	38
158	262	199	46	38
159	259	200	46	38
160	255	200	46	38
161	253	200	46	38
162	251	200	46	38
163	248	200	46	38
164	245	200	46	38
165	242	199	48	40
166	237	198	51	42
167	236	198	51	42
168	234	197	51	42
169	233	198	51	42
170	230	198	51	42
171	228	199	51	42
172	225	199	51	42
173	223	198	53	44
174	220	198	53	44
175	218	197	53	44
176	216	197	53	44
177	214	198	53	44
178	211	199	53	44
179	209	199	53	44
180	206	199	53	44
181	203	199	53	44
182	201	199	53	44
183	198	199	53	44
184	196	200	53	44
185	192	201	53	44
186	190	202	53	44
187	187	202	53	44
188	184	202	53	44
189	182	202	53	44
190	177	203	53	44
191	175	204	53	44
192	171	205	53	44
193	168	206	53	44
194	165	208	53	44
195	163	209	53	44
196	161	209	53	44
197	159	209	53	44
198	156	209	53	44
199	155	208	53	44
200	152	209	53	44
201	150	209	53	44
202	147	209	53	44
203	144	209	53	44
204	143	209	53	44
205	139	209	53	44
206	137	209	53	44
207	134	208	53	44
208	131	207	53	44
209	130	208	53	44
210	127	209	53	44
211	124	208	53	44
212	122	208	53	44
213	120	208	53	44
214	116	208	53	44
215	115	207	53	44
216	113	207	53	44
217	111	207	53	44
218	109	207	53	44
219	108	207	53	44
220	106	206	53	44
221	104	206	53	44
222	103	206	53	44
223	98	205	56	47
224	97	205	56	47
225	94	206	56	47
226	91	207	56	47
227	89	207	56	47
228	85	208	56	47
229	83	208	56	47
230	80	209	56	47
231	78	209	56	47
232	75	210	56	47
233	73	211	56	47
234	69	211	56	47
235	66	211	56	47
236	63	211	56	47
237	59	211	56	47
238	56	211	56	47
239	54	211	56	47
240	50	211	56	47
241	48	211	56	47
242	46	211	56	47
243	43	212	56	47
244	40	212	56	47
245	37	211	59	49
246	34	211	59	49
247	31	211	59	49
248	28	211	59	49
249	25	211	59	49
250	22	211	59	49
