frame	ave_fps
2	70.3181
3	70.9485
4	67.7137
5	60.2591
6	53.5298
7	57.704
8	61.1618
9	59.7381
10	63.0989
11	66.876
12	69.7505
13	73.5952
14	77.4353
15	81.1182
16	83.0053
17	86.3837
18	89.4672
19	92.0303
20	94.9603
21	96.9338
22	99.0591
23	101.525
24	103.992
25	105.092
26	107.275
27	108.852
28	109.593
29	111.543
30	109.867
31	109.535
32	110.005
33	109.022
34	110.035
35	110.102
36	109.762
37	110.252
38	111.382
39	112.511
40	112.567
41	113.724
42	113.385
43	113.177
44	112.887
45	113.944
46	114.906
47	115.412
48	116.406
49	116.267
50	116.917
51	117.451
52	118.417
53	119.346
54	120.307
55	120.619
56	121.542
57	120.376
58	120.032
59	120.411
60	119.961
61	120.071
62	120.428
63	120.682
64	116.04
65	115.558
66	114.984
67	115.804
68	116.166
69	116.837
70	117.197
71	117.547
72	117.696
73	117.968
74	118.433
75	119.073
76	118.481
77	119.198
78	119.163
79	119.764
80	120.403
81	120.345
82	120.939
83	121.591
84	121.155
85	121.788
86	121.785
87	121.918
88	121.828
89	122.148
90	122.238
91	122.762
92	123.359
93	123.102
94	123.663
95	123.433
96	123.967
97	123.938
98	124.115
99	124.483
100	124.936
101	124.956
102	125.463
103	125.928
104	125.709
105	126.176
106	126.67
107	126.854
108	127.081
109	127.106
110	127.393
111	127.596
112	128.042
113	128.497
114	128.299
115	128.63
116	129.084
117	128.443
118	128.91
119	129.06
120	129.351
121	129.607
122	129.851
123	130.206
124	130.505
125	130.903
126	130.546
127	129.828
128	129.735
129	129.813
130	129.54
131	129.919
132	129.913
133	130.273
134	130.656
135	130.28
136	130.656
137	130.793
138	130.908
139	131.141
140	131.345
141	131.659
142	131.847
143	131.941
144	131.757
145	132.031
146	131.765
147	132.118
148	131.865
149	132.194
150	132.19
151	132.494
152	132.454
153	132.777
154	133.012
155	133.067
156	133.36
157	133.104
158	133.394
159	133.164
160	133.461
161	133.689
162	133.525
163	133.442
164	133.76
165	133.653
166	133.93
167	134.232
168	133.909
169	133.456
170	133.764
171	133.521
172	133.795
173	133.938
174	134.015
175	134.104
176	133.865
177	133.416
178	131.657
179	130.809
180	130.354
181	130.41
182	130.379
183	129.924
184	129.874
185	129.867
186	129.495
187	129.538
188	129.441
189	129.465
190	129.484
191	129.59
192	128.454
193	127.92
194	127.603
195	127.294
196	127.463
197	127.287
198	126.929
199	126.735
200	126.351
201	125.712
202	125.423
203	125.114
204	121.499
205	119.784
206	119.082
207	118.327
208	117.49
209	117.229
210	117.085
211	113.386
212	112.565
213	112.286
214	112.125
215	111.888
216	111.692
217	111.661
218	111.64
219	111.08
220	110.887
221	110.438
222	110.207
223	109.964
224	109.288
225	109.115
226	108.959
227	108.537
228	107.499
229	107.068
230	106.402
231	105.829
232	103.066
233	102.991
234	102.976
235	102.792
236	102.39
237	101.179
238	100.731
239	100.055
240	99.8379
241	99.737
242	99.6719
243	99.6489
244	99.64
245	99.7315
246	99.8303
247	99.7464
248	99.6238
249	99.7999
250	99.7631
251	99.7108
252	99.7134
253	99.5749
254	99.4282
255	99.5313
256	99.4031
257	99.5062
258	99.5109
259	99.3387
260	99.3585
261	99.0571
262	99.1638
263	99.2009
264	99.2446
265	99.1118
266	98.4059
267	98.2037
268	98.1402
269	97.9898
270	97.9112
271	97.9099
272	97.9913
273	97.8593
274	97.6586
275	97.3841
276	97.4447
277	97.4896
278	97.4239
279	97.2939
280	97.253
281	97.1695
282	97.2059
283	97.144
284	97.1415
285	96.9663
286	96.655
287	96.5006
288	96.3146
289	96.1074
290	96.2124
291	96.0072
292	96.0566
293	96.2053
294	96.3435
295	96.4581
296	96.4138
297	96.5285
298	96.7087
299	96.7223
300	96.8953
301	96.3852
302	96.0841
303	96.1762
304	96.2644
305	96.2237
306	96.2364
307	96.397
308	96.3486
309	96.4383
310	96.5702
311	96.6944
312	96.8694
313	96.9457
314	97.0665
315	97.0769
316	97.2437
317	97.2782
318	97.45
319	97.5019
320	97.6594
321	97.6257
322	97.797
323	97.9046
324	98.0012
325	98.0255
326	98.1523
327	98.2854
328	98.4487
329	98.4952
330	98.6531
331	98.7777
332	98.9117
333	99.0539
334	99.0765
335	99.1712
336	99.3258
337	99.3919
338	99.5101
339	99.6624
340	99.6844
341	99.8438
342	99.9953
343	100.04
344	100.203
345	100.303
346	100.461
347	100.602
348	100.731
349	100.879
350	100.886
