frame	x	y	width	height
2	65	66	70	270
3	66	66	70	270
4	67	65	70	270
5	71	73	67	257
6	70	65	70	270
7	75	73	67	257
8	77	72	67	257
9	81	72	67	257
10	84	71	67	257
11	88	71	67	257
12	92	78	63	245
13	95	77	63	245
14	98	77	63	245
15	99	72	67	257
16	101	71	67	257
17	103	71	67	257
18	106	72	67	257
19	108	73	67	257
20	112	72	67	257
21	114	73	67	257
22	117	73	67	257
23	121	73	67	257
24	124	78	63	245
25	127	78	63	245
26	130	76	63	245
27	134	78	63	245
28	135	77	63	245
29	137	76	63	245
30	140	77	63	245
31	142	76	63	245
32	144	76	63	245
33	146	74	63	245
34	150	81	60	233
35	153	80	60	233
36	157	80	60	233
37	158	80	60	233
38	160	79	60	233
39	163	79	60	233
40	165	79	60	233
41	168	84	58	222
42	170	84	58	222
43	172	83	58	222
44	175	83	58	222
45	177	84	58	222
46	180	86	58	222
47	180	85	58	222
48	182	84	58	222
49	184	82	58	222
50	186	82	58	222
51	188	82	58	222
52	190	82	58	222
53	190	78	60	233
54	191	77	60	233
55	193	76	60	233
56	196	82	58	222
57	197	82	58	222
58	199	83	58	222
59	201	82	58	222
60	203	83	58	222
61	206	82	58	222
62	208	81	58	222
63	208	80	58	222
64	209	80	58	222
65	211	80	58	222
66	213	81	58	222
67	214	80	58	222
68	216	80	58	222
69	219	85	55	212
70	222	90	52	201
71	223	91	52	201
72	224	90	52	201
73	225	90	52	201
74	225	86	55	212
75	228	90	52	201
76	229	90	52	201
77	230	89	52	201
78	230	84	55	212
79	232	89	52	201
80	234	89	52	201
81	235	90	52	201
82	238	93	50	192
83	239	93	50	192
84	241	93	50	192
85	241	92	50	192
86	242	91	50	192
87	243	92	50	192
88	245	92	50	192
89	246	92	50	192
90	247	91	50	192
91	248	91	50	192
92	249	91	50	192
93	250	92	50	192
94	251	92	50	192
95	252	92	50	192
96	253	92	50	192
97	256	97	47	183
98	257	97	47	183
99	258	96	47	183
100	259	96	47	183
101	260	94	47	183
102	261	94	47	183
103	261	95	47	183
104	262	95	47	183
105	263	96	47	183
106	265	97	47	183
107	266	96	47	183
108	267	96	47	183
109	268	97	47	183
110	269	96	47	183
111	270	96	47	183
112	272	95	47	183
113	273	95	47	183
114	273	95	47	183
115	274	94	47	183
116	275	94	47	183
117	275	94	47	183
118	276	93	47	183
119	276	92	47	183
120	276	91	47	183
121	275	90	47	183
122	277	95	45	174
123	277	95	45	174
124	277	94	45	174
125	277	93	45	174
126	278	98	43	166
127	278	98	43	166
128	277	97	43	166
129	277	98	43	166
130	277	98	43	166
131	277	97	43	166
132	278	96	43	166
133	278	95	43	166
134	279	96	43	166
135	280	96	43	166
136	281	97	43	166
137	281	97	43	166
138	282	97	43	166
139	283	96	43	166
