frame	x	y	width	height
1	291	150	85	195
2	291	148	84	195
3	291	146	84	196
4	291	145	84	196
5	291	143	84	197
6	292	141	83	198
7	292	140	83	198
8	292	138	83	199
9	293	138	83	199
10	294	137	82	200
11	295	136	82	201
12	296	136	82	201
13	297	135	82	202
14	298	135	81	203
15	299	134	81	203
16	300	134	81	204
17	301	133	81	204
18	302	132	80	205
19	303	132	80	206
20	303	133	80	206
21	304	134	80	207
22	305	136	80	208
23	304	135	79	206
24	304	134	79	205
25	304	133	79	204
26	304	132	78	202
27	304	131	78	201
28	304	130	78	200
29	304	130	77	198
30	304	129	77	197
31	304	129	77	196
32	304	128	77	194
33	305	127	76	193
34	306	126	76	192
35	307	127	76	190
36	308	127	75	189
37	309	127	75	188
38	310	127	75	186
39	310	128	75	185
40	311	128	74	184
41	312	128	74	182
42	313	129	74	181
43	314	129	73	180
44	315	129	73	178
45	316	129	73	177
46	317	130	72	176
47	318	130	72	174
48	318	130	72	173
49	319	130	72	172
50	320	131	71	170
51	321	131	71	169
52	322	131	71	168
53	323	132	70	166
54	324	132	70	165
55	325	133	70	164
56	326	130	70	163
57	328	130	70	162
58	330	131	70	162
59	332	132	70	162
60	334	133	70	162
61	336	133	70	162
62	338	134	70	162
63	339	135	68	161
64	341	136	67	160
65	343	136	66	159
66	345	137	65	158
67	346	138	64	157
68	348	138	63	156
69	350	139	62	155
70	352	140	61	154
71	359	139	57	153
72	358	140	59	154
73	357	138	61	156
74	357	139	63	157
75	357	139	65	159
76	358	139	67	160
77	361	140	64	147
78	363	140	62	147
79	366	140	61	148
80	369	140	60	149
81	369	139	60	149
82	369	139	60	150
83	370	139	61	150
84	369	141	61	151
85	371	141	62	151
86	373	140	62	152
87	374	140	63	152
88	376	139	63	153
89	378	139	64	153
90	380	138	64	153
91	382	137	65	154
92	384	137	65	155
93	385	136	65	155
94	386	135	66	156
95	387	135	66	156
96	388	134	67	157
97	389	133	67	157
98	390	132	68	158
99	392	131	68	158
100	392	130	69	158
101	392	129	69	159
102	392	127	70	160
103	392	126	70	160
