frame	PSR
2	5.15611
3	4.67939
4	5.17461
5	5.00475
6	5.03181
7	4.94844
8	5.36993
9	5.4652
10	5.03205
11	5.40413
12	4.98885
13	4.71604
14	4.85803
15	4.9045
16	5.07588
17	5.26643
18	5.25091
19	5.05565
20	4.29355
21	4.76787
22	4.68975
23	4.53477
24	4.50981
25	4.00037
26	4.60352
27	4.54916
28	4.32696
29	4.04795
30	4.54215
31	4.97801
32	4.35711
33	4.74709
34	5.04385
35	4.12371
36	4.14575
37	3.52295
38	4.62008
39	4.46666
40	3.47711
41	3.79417
42	4.34466
43	4.29701
44	4.51486
45	4.16722
46	3.66598
47	3.57142
48	3.42169
49	4.06403
50	4.11515
51	2.68618
52	2.85328
53	3.11735
54	3.29707
55	3.09765
56	3.12945
57	3.36041
58	2.71133
59	2.99423
60	4.064
61	3.31032
62	2.17903
63	2.43568
64	2.78476
65	2.42107
66	2.16306
67	2.42737
68	2.48779
69	2.16497
70	2.27457
71	2.40815
72	2.68441
73	2.37723
74	2.11508
75	2.48899
76	2.00778
77	2.25336
78	2.582
79	2.34282
80	2.21315
81	2.82541
82	2.37053
83	3.37029
84	2.6939
85	2.46847
86	2.86851
87	3.16613
88	3.26644
89	3.02005
90	2.90355
91	3.0394
92	3.21549
93	3.37204
94	3.01893
95	2.86451
96	2.83948
97	2.79459
98	2.99966
99	3.40078
100	3.24411
101	3.30248
102	3.53944
103	2.8647
104	3.24535
105	3.44472
106	2.91727
107	2.25646
108	2.85208
109	2.56502
110	2.53928
111	2.00206
112	2.71717
113	2.51602
114	2.35239
115	2.16236
116	2.47975
117	2.594
118	2.00552
119	2.34652
120	2.57341
121	2.48262
122	2.39922
123	2.26732
124	2.1244
125	2.68819
126	3.3106
127	2.73606
128	2.74807
129	2.96301
130	2.90596
131	1.82649
132	2.35733
133	2.79464
134	2.30179
135	2.90321
136	2.8941
137	2.6312
138	2.49933
139	2.73897
140	2.87486
141	2.98977
142	2.85964
143	3.07012
144	2.87998
145	3.66421
146	2.835
147	3.01299
148	2.89031
149	2.8739
150	2.71462
151	2.90567
152	3.14524
153	2.93459
154	2.76942
155	2.65958
156	2.67021
157	2.58847
158	2.56621
159	2.83789
160	3.10195
161	2.99924
162	3.08892
163	2.99034
164	3.02176
165	2.52982
166	3.22104
167	2.9965
168	3.32228
169	2.9286
170	2.93885
171	2.67743
172	2.60343
173	2.47558
174	2.82094
175	2.33119
176	2.87921
177	3.06451
178	3.24267
179	3.05589
180	3.39603
181	2.90919
182	2.7452
183	3.09234
184	3.96322
185	3.26754
186	1.97099
187	2.65219
188	2.52724
189	2.44168
190	2.22212
191	2.46876
192	2.79691
193	2.92585
194	2.53293
195	2.56321
196	2.26276
197	2.15425
198	2.49956
199	2.49382
200	2.25256
201	2.61514
202	2.68176
203	2.63686
204	2.02535
205	1.8739
206	2.72269
207	2.62431
208	2.58894
209	2.84068
210	2.68671
211	2.31596
212	1.95481
213	2.40059
214	2.8417
215	2.39193
216	2.48146
217	2.22314
218	2.21572
219	2.2539
220	2.29151
221	2.55351
222	2.4011
223	2.29178
224	2.49784
225	2.29332
226	2.25064
227	2.08067
228	2.31834
229	2.42465
230	2.38243
231	2.61781
232	2.66302
233	2.61182
234	2.42867
235	2.34543
236	2.75066
237	2.99404
238	2.99241
239	2.57696
240	2.51378
241	2.59114
242	2.96088
243	3.16724
244	2.94712
245	3.11651
246	2.89352
247	2.94575
248	2.94165
249	2.77754
250	3.03932
251	3.16524
252	3.1562
253	3.08787
254	2.86089
255	3.07121
256	2.99113
257	2.92837
258	3.20259
259	3.27817
260	3.36881
261	3.12475
262	2.96638
263	3.03964
264	3.39694
265	3.60811
266	3.28294
267	2.89128
268	3.18093
269	3.43162
270	3.69595
271	3.26763
272	3.16543
273	3.29228
274	3.45373
275	3.25767
276	3.17749
277	3.06973
278	3.1142
279	3.39154
280	3.29944
281	3.30857
282	3.14287
283	3.35231
284	3.35854
285	3.2632
286	3.42287
287	3.2714
288	3.75608
289	3.69839
290	3.52208
291	3.43737
292	3.59989
293	3.63771
294	3.41696
295	3.46892
296	3.57686
297	3.67375
298	3.60028
299	3.63649
300	3.43589
301	3.29927
302	3.33486
303	3.42754
304	3.44088
305	3.50264
306	3.50824
307	3.47759
308	3.53644
309	3.81764
310	3.54294
311	3.4859
312	3.68718
313	3.8707
314	3.66328
315	3.70446
316	3.8189
317	4.07943
318	4.06785
319	4.1081
320	3.70142
321	3.79331
322	3.96513
323	3.66354
324	3.61323
325	3.74218
326	3.99014
327	4.20301
328	4.26669
329	3.88568
330	3.89575
331	3.88533
332	3.85259
333	3.90551
334	4.14078
335	4.0844
336	4.41896
337	3.87423
338	3.92164
339	4.08891
340	4.01034
341	4.06544
342	3.95883
343	3.9878
344	3.81932
345	4.04078
346	3.88392
347	3.87296
348	4.184
349	4.2346
350	4.23473
351	4.10861
352	4.02523
353	4.06446
354	4.00211
355	3.86091
356	3.93231
357	4.00387
358	4.10599
359	4.21559
360	4.22514
361	4.26849
362	4.39145
363	4.16614
364	3.96876
365	3.99879
366	4.05429
367	3.88213
368	3.86703
369	3.92272
370	4.17368
371	4.62162
372	4.36054
373	4.24845
374	4.39648
375	4.36959
376	3.99686
377	3.998
378	3.82311
379	3.34115
380	3.21693
381	3.70748
382	3.47718
383	3.40362
384	3.30328
385	2.99428
386	2.29883
387	2.17939
388	2.29836
389	3.14171
390	3.42154
391	3.93758
