frame	ave_fps
2	57.7078
3	57.2171
4	39.1003
5	30.4723
6	27.2735
7	29.5696
8	30.6039
9	32.0686
10	34.6989
11	37.2289
12	39.6504
13	41.9001
14	43.9061
15	45.9213
16	47.8886
17	49.7705
18	48.5786
19	48.4522
20	47.4891
21	48.691
22	47.1681
23	47.1958
24	47.7953
25	47.0002
26	47.2258
27	47.699
28	48.2209
29	48.6109
30	49.4362
31	49.9853
32	50.605
33	51.4474
34	52.3386
35	53.094
36	53.8934
37	54.6653
38	55.4658
39	56.2131
40	56.9526
41	57.7122
42	58.296
43	58.9035
44	59.5623
45	59.8772
46	60.2011
47	60.8166
48	61.4766
49	62.0935
50	61.5437
51	60.4146
52	60.9676
53	61.4383
54	61.9451
55	62.4914
56	63.0337
57	63.2017
58	63.6864
59	64.1706
60	64.5968
61	64.9499
62	65.3873
63	65.8726
64	66.3068
65	66.6741
66	66.9944
67	67.4406
68	67.8403
69	68.2045
70	68.5729
71	68.8363
72	69.2806
73	69.6458
74	69.9717
75	70.3907
76	70.7793
77	71.0667
78	71.3438
79	71.704
80	72.0588
81	72.291
82	72.5363
83	72.7797
84	73.1338
85	72.9239
86	72.9448
87	73.2731
88	73.5836
89	73.8604
90	74.0926
91	74.3199
92	74.6512
93	74.9198
94	75.1443
95	74.9173
96	75.2054
97	75.4665
98	75.7162
99	76.0256
100	76.2898
101	76.5019
102	76.6308
103	76.7868
104	77.0523
105	77.3399
106	77.5616
107	77.6402
108	77.8019
109	77.7581
110	77.6421
111	77.7049
112	77.7483
113	77.7843
114	77.6601
115	77.3732
116	77.3088
117	77.335
118	76.6227
119	75.6974
120	75.8268
121	75.8303
122	75.7595
123	75.7197
124	75.4205
125	75.519
126	75.67
127	75.8023
128	75.9848
129	76.1889
130	76.347
131	76.4354
132	76.5401
133	76.7538
134	76.9499
135	77.0895
136	77.267
137	77.457
138	77.6617
139	77.7962
140	77.9101
141	78.0578
142	78.2356
143	78.38
144	78.5126
145	78.6881
146	78.8917
147	79.0137
148	79.1481
149	79.3318
150	79.306
151	79.2195
152	79.1995
153	78.6221
154	78.5267
155	78.3359
156	78.3325
157	77.4378
158	77.5542
159	77.6697
160	77.6836
161	77.8416
162	77.9516
163	77.8755
164	77.8793
165	77.8191
166	77.8705
167	77.055
168	77.0058
169	77.0495
170	77.1597
171	77.305
172	77.4529
173	77.5411
174	77.6399
175	77.7011
176	77.5163
177	77.5227
178	77.593
179	77.6754
180	77.7232
181	77.8755
182	78.0201
183	78.1
184	78.1463
185	77.9182
186	77.9218
187	77.937
188	78.0412
189	78.1445
190	78.2433
191	78.3537
192	78.4963
193	78.5767
194	78.676
195	78.784
196	78.8698
197	78.9942
198	79.0416
199	79.1204
200	79.2042
201	79.32
202	79.4438
203	79.5084
204	79.6078
205	79.7285
206	79.8529
207	79.9115
208	80.0208
209	80.1473
210	80.2759
211	80.3452
212	79.9382
213	80.018
214	80.1231
215	80.1609
216	80.28
217	80.3641
218	80.4629
219	80.5858
220	80.701
221	80.4735
222	80.5767
223	80.6998
224	80.8068
225	80.8784
226	80.9521
227	81.0752
228	81.1985
229	81.2908
230	81.3943
231	81.5172
232	81.6018
233	81.6793
234	81.7412
235	81.8632
236	81.9634
237	81.0867
238	81.1241
239	81.209
240	81.079
241	80.9415
242	80.9596
243	80.7922
244	80.8708
245	80.8803
246	78.4927
247	77.6894
248	77.2195
249	76.9951
250	76.6633
251	76.2461
252	75.1945
253	74.6918
254	74.537
255	73.8571
256	73.6407
257	73.4109
258	73.1054
259	72.9455
260	72.708
261	72.2393
262	71.9781
263	71.8275
264	71.7583
265	71.0654
266	70.771
267	70.645
268	70.3386
269	70.4096
270	70.5147
271	70.5393
272	70.6356
273	70.7028
274	70.7536
275	70.812
276	70.8405
277	70.791
278	70.7901
279	70.8656
280	70.8641
281	70.8891
282	70.8692
283	70.9321
284	70.3989
285	69.4735
286	69.2756
287	69.0765
288	68.8378
289	68.8644
290	68.887
291	68.9412
292	68.7502
293	68.4513
294	68.4568
295	68.4186
296	68.418
297	68.4826
298	68.4965
299	68.5814
300	68.5996
301	68.6069
302	67.3601
303	66.1081
304	65.5345
305	64.4754
306	63.8753
307	63.7768
308	63.6536
309	63.6651
310	63.7474
311	63.7711
312	63.8057
313	63.8904
314	63.9392
315	63.7648
316	63.8495
317	63.9163
318	63.9927
319	64.0604
320	64.1197
321	64.178
322	64.2236
323	64.3011
324	64.3858
325	64.4524
326	64.524
327	64.587
328	64.6744
329	64.7625
330	64.8321
331	64.9023
332	64.9621
333	65.028
334	65.1005
335	65.1637
336	65.1926
337	65.1806
338	65.2407
339	65.1977
340	65.1805
341	65.2471
342	65.3263
343	65.4079
344	65.4898
345	65.5679
346	65.6328
347	65.6993
348	65.6792
349	65.7448
350	65.821
351	65.9049
352	65.9679
353	66.0268
354	66.1038
355	66.1847
356	66.2629
357	66.3261
358	66.3927
359	66.4729
360	66.5556
361	66.6286
362	66.6932
363	66.772
364	66.431
365	65.489
366	64.7182
367	64.3777
368	63.9575
369	63.677
370	63.465
371	63.5168
372	63.5025
373	63.5386
374	63.5798
375	63.6087
376	63.0384
377	62.4626
378	61.9101
379	61.9186
380	61.995
381	62.0772
382	62.153
383	62.1913
384	62.236
385	62.3107
386	62.3797
387	62.3758
388	62.2699
389	62.1106
390	61.8913
391	61.5927
