frame	x	y	width	height
2	301	138	66	80
3	297	141	66	80
4	295	142	69	84
5	296	144	69	84
6	299	146	69	84
7	304	147	69	84
8	306	146	69	84
9	307	147	69	84
10	306	149	69	84
11	305	149	69	84
12	308	147	69	84
13	316	143	69	84
14	324	138	69	84
15	330	135	69	84
16	331	131	73	88
17	331	130	73	88
18	330	130	73	88
19	330	129	73	88
20	333	124	73	88
21	339	117	73	88
22	344	113	76	93
23	349	111	76	93
24	354	111	76	93
25	362	117	76	93
26	372	126	76	93
27	377	128	76	93
28	372	119	76	93
29	362	106	76	93
30	352	93	76	93
31	343	86	76	93
32	338	83	76	93
33	336	81	76	93
34	336	83	76	93
35	339	92	76	93
36	349	103	76	93
37	363	119	76	93
38	374	131	76	93
39	375	128	76	93
40	366	113	76	93
41	361	99	73	88
42	359	91	73	88
43	358	85	73	88
44	358	84	73	88
45	360	85	73	88
46	362	92	73	88
47	367	104	73	88
48	376	121	73	88
49	383	140	73	88
50	383	142	73	88
51	377	129	76	93
52	369	111	76	93
53	371	118	76	93
54	370	117	76	93
55	366	116	80	97
56	364	121	84	102
57	367	133	84	102
58	368	146	88	107
59	374	165	93	113
60	374	180	93	113
61	364	180	93	113
62	375	203	93	113
63	382	201	93	113
64	375	188	98	118
65	363	177	98	118
66	356	171	93	113
67	353	173	93	113
68	353	185	88	107
69	345	208	84	102
70	362	223	80	97
71	367	249	80	97
72	374	276	76	93
73	365	288	76	93
74	345	317	76	93
75	337	295	76	93
76	325	271	76	93
77	321	253	76	93
78	317	231	76	93
79	318	233	73	88
80	312	205	73	88
81	315	206	73	88
82	317	228	73	88
83	315	248	73	88
84	308	271	73	88
85	303	274	73	88
86	300	264	73	88
87	292	256	73	88
88	289	246	76	93
89	285	244	76	93
90	285	250	76	93
91	285	258	76	93
92	286	264	76	93
93	288	265	76	93
94	290	268	73	88
95	289	273	73	88
96	289	268	73	88
97	288	266	73	88
98	290	265	73	88
99	291	262	73	88
100	293	259	73	88
101	295	257	73	88
102	295	254	73	88
103	297	250	73	88
104	297	247	73	88
105	297	239	73	88
106	296	235	73	88
107	282	230	76	93
108	276	228	76	93
109	276	219	76	93
110	272	217	76	93
