frame	x	y	width	height
1	333	533	13	49
2	312	536	14	49
3	309	521	15	49
4	303	533	16	50
5	329	521	17	50
6	315	507	18	50
7	296	486	19	51
8	287	464	19	51
9	287	447	20	51
10	298	440	18	52
11	310	432	16	54
12	329	430	14	49
13	339	426	14	50
14	339	430	16	51
15	343	417	18	53
16	355	426	18	53
17	377	433	17	53
18	395	426	16	53
19	394	408	16	54
20	375	396	15	54
21	373	386	16	54
22	373	387	15	54
23	373	377	16	55
24	363	368	17	55
25	352	361	17	55
26	344	356	18	56
27	347	340	19	56
28	344	320	19	57
29	348	302	18	59
30	370	283	18	60
31	375	263	18	62
32	372	241	19	63
33	388	226	21	65
34	401	232	18	43
35	414	249	20	64
36	436	264	22	64
37	447	273	23	64
38	453	283	24	64
39	455	290	26	64
40	434	305	25	64
41	434	300	23	64
42	427	315	22	64
43	398	315	21	64
44	371	313	20	64
45	344	302	20	64
46	305	307	20	64
47	294	289	20	64
48	294	285	20	65
49	271	281	20	65
50	263	268	20	66
51	247	262	21	66
52	243	251	21	66
53	272	275	21	67
54	296	288	21	67
55	325	316	21	67
56	339	317	21	68
57	332	315	22	68
58	338	308	23	68
59	345	326	23	68
60	349	345	24	68
61	351	374	25	68
62	341	382	26	68
63	322	374	27	68
64	300	360	26	67
65	292	337	25	66
66	292	337	24	66
67	299	334	23	65
68	296	345	21	65
69	295	338	21	64
70	296	330	21	64
71	297	322	21	65
72	286	329	21	65
73	294	341	21	65
74	313	342	21	65
75	303	341	21	66
76	287	325	22	66
77	288	320	22	66
78	295	334	22	66
79	306	338	22	66
80	302	344	22	67
81	310	346	22	67
82	321	346	22	67
83	325	365	22	67
84	339	361	22	68
85	341	357	23	68
86	340	336	23	68
87	349	330	23	68
88	376	334	23	69
89	400	329	23	69
90	400	313	23	69
91	391	310	23	69
92	398	302	23	69
93	411	297	23	70
94	416	303	24	70
95	436	303	24	70
96	458	304	24	70
97	470	320	24	71
98	475	311	24	71
99	481	301	24	71
100	484	304	24	71
101	500	292	24	72
102	517	280	25	72
103	531	271	25	72
104	545	262	25	72
105	560	254	25	72
106	568	239	25	73
107	576	224	25	73
108	584	208	25	73
109	594	207	25	73
110	603	206	25	74
111	612	204	26	74
112	595	198	26	75
113	578	191	26	75
114	575	198	26	76
115	558	180	30	78
116	532	167	29	78
117	515	161	27	78
118	509	148	27	79
119	490	127	27	79
120	462	131	27	79
121	447	141	27	79
122	461	153	28	80
123	474	172	28	80
124	494	182	28	80
125	493	178	28	80
126	497	172	28	81
127	506	172	28	81
128	523	163	28	81
129	541	156	28	81
