frame	PSR
2	5.01079
3	4.81291
4	4.65027
5	4.68216
6	4.66118
7	4.40604
8	4.58875
9	4.64797
10	4.50026
11	4.4243
12	4.26028
13	4.31696
14	4.38705
15	4.41823
16	4.23915
17	4.19738
18	4.16251
19	4.3081
20	4.10768
21	4.19898
22	4.0136
23	4.28541
24	4.29523
25	4.05647
26	3.97863
27	3.79963
28	3.70469
29	3.84296
30	3.83697
31	3.85615
32	3.97206
33	3.90326
34	3.88393
35	3.8592
36	3.97034
37	3.84783
38	3.87264
39	3.88885
40	3.84786
41	3.68457
42	3.85983
43	3.74705
44	3.44466
45	3.51614
46	3.41703
47	3.48639
48	3.4541
49	3.44245
50	3.50905
51	3.47743
52	3.40095
53	3.14636
54	3.30135
55	3.1953
56	3.43074
57	3.26744
58	3.11112
59	3.22737
60	3.35361
61	3.33721
62	3.39377
63	3.32233
64	3.25987
65	3.45985
66	2.96461
67	3.23095
68	3.40335
69	3.42359
70	3.60764
71	3.44624
72	3.59839
73	3.72061
74	3.54691
75	3.6305
76	3.49787
77	3.60513
78	3.53244
79	3.30719
80	3.35321
81	3.58392
82	3.79561
83	3.77693
84	3.74875
85	3.65223
86	3.62673
87	3.79085
88	3.82733
89	3.74711
90	3.63939
91	3.7145
92	3.70794
93	3.77885
94	3.80832
95	3.93057
96	4.14013
97	4.05796
98	4.02048
99	3.84857
100	3.75893
101	3.48848
102	3.42095
103	3.45826
104	3.61653
105	3.55066
106	3.63064
107	3.53301
108	3.51926
109	3.61297
110	3.82486
111	3.89404
112	3.98757
113	4.00917
114	4.10226
115	3.96224
116	3.86188
117	3.5891
118	3.52773
119	3.37358
120	3.43045
121	3.49641
122	3.55542
123	3.5267
124	3.63632
125	3.60906
126	3.65688
127	3.64007
128	3.69355
129	3.45947
130	3.43877
131	3.38026
132	3.33105
133	3.39908
134	3.21222
135	3.14321
136	2.96288
137	2.89399
