frame	ave_fps
2	50.5966
3	45.2337
4	50.6328
5	48.5722
6	52.2797
7	56.9946
8	56.7512
9	60.1315
10	62.9685
11	65.157
12	67.4969
13	69.5432
14	70.8495
15	72.4797
16	73.9581
17	75.3823
18	76.6392
19	77.6345
20	78.6776
21	79.4114
22	80.34
23	80.7257
24	81.5009
25	82.2954
26	83.0319
27	81.0426
28	81.6886
29	82.3258
30	82.9276
31	83.4941
32	83.9839
33	83.5131
34	83.7635
35	84.2419
36	84.6783
37	85.1109
38	85.5126
39	85.9529
40	86.3556
41	86.7674
42	87.1598
43	87.4964
44	87.8939
45	88.2032
46	88.3449
47	88.4591
48	88.6204
49	88.2866
50	87.8025
51	87.9889
52	85.8175
53	86.0134
54	86.2841
55	86.5263
56	86.7326
57	87.0001
58	86.7997
59	86.9968
60	87.2428
61	87.4273
62	87.6776
63	87.8915
64	88.0934
65	88.2373
66	88.4326
67	88.6529
68	88.8118
69	89.0027
70	89.1845
71	89.3581
72	89.4663
73	89.5994
74	89.3843
75	89.5181
76	89.6551
77	89.2409
78	89.3947
79	89.5794
80	89.7292
81	89.8793
82	90.0458
83	89.0161
84	89.1639
85	89.328
86	89.4542
87	89.5905
88	89.7409
89	89.8686
90	89.9936
91	90.0689
92	90.1778
93	90.3436
94	90.4544
95	90.5211
96	90.6442
97	90.7109
98	90.8186
99	90.7393
100	90.5557
101	90.644
102	89.8539
103	89.8357
104	89.9187
105	90.0189
106	90.1061
107	90.2099
108	89.7318
109	89.8092
110	89.9457
111	90.0287
112	90.1557
113	90.2001
114	90.3214
115	90.4061
116	90.4734
117	90.5672
118	90.649
119	90.7087
120	90.7779
121	90.8466
122	90.9076
123	89.5987
124	89.6175
125	89.713
126	89.5078
127	89.5665
128	89.6294
129	89.717
130	89.7877
131	89.8277
132	89.2062
133	89.2912
134	89.3664
135	89.4533
136	89.5377
137	89.6204
