frame	x	y	width	height
1	579	475	104	111
2	571	463	111	120
3	572	465	111	119
4	573	467	110	119
5	574	469	109	119
6	574	470	108	119
7	575	472	107	119
8	576	474	106	118
9	577	476	105	118
10	578	477	105	118
11	579	479	104	118
12	580	481	103	117
13	580	482	102	117
14	581	484	101	117
15	582	486	100	117
16	583	487	100	116
17	583	488	99	116
18	584	490	98	115
19	583	490	97	114
20	583	491	96	114
21	583	491	95	113
22	583	492	94	113
23	584	492	93	112
24	585	493	93	111
25	586	493	92	111
26	587	494	91	110
27	587	495	90	109
28	587	494	89	109
29	588	498	88	108
30	589	498	87	108
31	588	498	86	107
32	588	498	86	106
33	591	498	85	106
34	594	499	84	105
35	597	499	83	105
36	600	500	82	104
37	603	500	81	103
38	606	501	80	103
39	609	501	79	102
40	613	502	79	102
41	612	507	78	100
42	611	512	77	98
43	610	517	77	96
44	610	523	76	94
45	609	528	76	92
46	608	533	75	91
47	607	538	75	89
48	607	544	74	87
49	606	549	74	85
50	605	554	73	83
51	605	560	73	82
52	602	562	74	83
53	600	565	76	85
54	598	567	77	87
55	596	570	79	89
56	594	573	81	91
57	592	575	82	93
58	590	578	84	95
59	588	581	86	97
60	586	581	85	98
61	585	582	85	100
62	583	583	85	102
63	582	583	84	103
64	580	584	84	105
65	579	585	84	107
66	584	582	85	106
67	590	579	86	106
68	595	576	87	106
69	601	573	88	106
70	607	570	89	105
71	612	568	90	105
72	618	565	91	105
73	623	562	92	105
74	629	559	93	105
75	635	556	94	104
76	640	553	95	104
77	646	551	96	104
78	651	548	97	104
79	661	546	96	103
80	670	544	95	103
81	679	542	94	102
82	688	541	93	102
83	697	539	92	101
84	706	537	91	101
85	714	536	90	100
86	721	535	89	100
87	729	534	88	99
88	736	533	87	99
89	744	532	86	98
90	752	531	86	98
91	757	528	86	98
92	763	526	86	99
93	768	524	86	99
94	774	521	86	100
95	779	519	86	100
96	785	517	87	101
97	790	518	87	101
98	795	519	87	101
99	801	520	87	101
100	806	521	88	101
101	812	522	88	102
102	817	524	88	102
103	823	525	88	102
104	828	526	89	102
105	828	526	89	102
106	828	527	89	103
107	828	527	89	103
108	828	528	90	103
109	828	528	90	103
110	828	528	90	103
111	828	529	90	104
112	828	529	91	104
113	828	529	91	104
114	827	529	91	104
115	826	529	91	105
116	825	528	91	105
117	818	527	94	108
118	810	525	97	111
119	802	523	100	114
120	795	521	103	117
121	787	519	106	120
122	784	518	101	118
123	781	516	97	115
124	777	514	96	114
125	769	508	100	118
126	764	501	104	122
127	759	493	108	126
128	754	486	112	130
129	748	478	116	135
130	743	470	120	139
131	738	463	125	143
132	733	454	127	145
133	729	445	129	147
134	724	436	132	149
135	719	427	134	150
136	714	419	136	152
137	710	410	138	154
138	703	415	151	154
