frame	x	y	width	height
2	579	475	104	111
3	578	475	104	111
4	578	476	104	111
5	577	472	109	117
6	577	473	109	117
7	578	477	104	111
8	579	477	104	111
9	579	477	104	111
10	577	475	109	117
11	577	476	109	117
12	578	475	109	117
13	579	476	109	117
14	577	475	109	117
15	573	475	115	122
16	572	477	115	122
17	573	477	115	122
18	572	476	115	122
19	573	476	115	122
20	572	477	115	122
21	572	476	115	122
22	573	476	115	122
23	573	476	115	122
24	572	478	115	122
25	570	479	115	122
26	572	479	115	122
27	572	481	115	122
28	572	478	115	122
29	571	478	115	122
30	570	478	115	122
31	572	478	115	122
32	573	477	115	122
33	574	477	115	122
34	577	477	109	117
35	578	477	109	117
36	580	476	109	117
37	581	477	109	117
38	579	474	115	122
39	579	474	115	122
40	580	474	115	122
41	582	474	115	122
42	582	475	115	122
43	581	471	120	128
44	581	473	120	128
45	580	474	120	128
46	579	475	120	128
47	577	476	120	128
48	576	477	120	128
49	576	480	120	128
50	575	482	120	128
51	577	481	120	128
52	577	482	120	128
53	577	479	120	128
54	577	476	120	128
55	580	477	115	122
56	579	478	115	122
57	579	476	115	122
58	578	477	115	122
59	579	477	115	122
60	578	477	115	122
61	576	477	115	122
62	578	477	115	122
63	576	479	115	122
64	577	481	115	122
65	577	478	120	128
66	580	480	120	128
67	578	479	120	128
68	580	479	120	128
69	576	481	120	128
70	576	481	120	128
71	577	480	120	128
72	577	481	120	128
73	578	480	120	128
74	581	481	120	128
75	582	480	120	128
76	584	478	120	128
77	585	477	120	128
78	585	476	120	128
79	586	475	120	128
80	587	472	120	128
81	584	472	120	128
82	583	471	120	128
83	582	472	120	128
84	581	473	120	128
85	583	474	120	128
86	582	475	120	128
87	580	474	120	128
88	581	475	120	128
89	580	475	120	128
90	579	475	120	128
91	577	476	120	128
92	576	477	120	128
93	576	477	120	128
94	574	476	120	128
95	575	475	120	128
96	577	473	120	128
97	580	472	120	128
98	582	472	120	128
99	585	470	120	128
100	587	471	120	128
101	588	470	120	128
102	588	469	126	135
103	586	469	126	135
104	584	470	126	135
105	584	468	126	135
106	584	468	126	135
107	584	469	126	135
108	584	468	126	135
109	584	468	126	135
110	584	467	126	135
111	584	466	126	135
112	582	465	126	135
113	582	467	126	135
114	580	469	126	135
115	578	471	126	135
116	578	471	126	135
117	576	472	126	135
118	576	473	126	135
119	577	475	126	135
120	577	474	126	135
121	578	473	126	135
122	579	473	126	135
123	579	474	126	135
124	577	475	126	135
125	574	475	126	135
126	574	474	126	135
127	573	474	126	135
128	572	473	126	135
129	570	471	126	135
130	568	470	126	135
131	565	470	126	135
132	564	468	126	135
133	564	466	126	135
134	561	465	126	135
135	561	464	126	135
136	561	465	126	135
137	560	461	126	135
