frame	PSR
2	5.02269
3	4.72971
4	4.50297
5	4.39855
6	4.4013
7	4.27423
8	4.18445
9	4.19583
10	4.24465
11	4.19713
12	4.22054
13	4.28578
14	4.27762
15	4.37595
16	4.34785
17	4.35731
18	4.23111
19	4.21577
20	4.06929
21	3.90408
22	3.79822
23	3.3401
24	3.29606
25	3.58481
26	3.71163
27	3.70836
28	3.63418
29	3.60129
30	3.71253
31	3.62156
32	3.87588
33	3.57848
34	3.70434
35	3.70998
36	3.76765
37	3.8127
38	3.90555
39	3.91608
40	3.99464
41	4.01999
42	4.20329
43	4.17822
44	4.15645
45	4.07037
46	3.83775
47	3.87691
48	3.66978
49	3.72397
50	3.8724
51	3.88347
52	3.85652
53	3.54155
54	3.41224
55	3.4121
56	3.53704
57	3.5849
58	3.48799
59	3.21346
60	3.12265
61	3.12864
62	3.23732
63	3.29465
64	3.55815
65	3.74355
66	3.66529
67	3.60364
68	3.48901
69	3.40142
70	3.06126
71	2.76951
72	2.65244
73	2.51593
74	2.71679
75	2.82822
76	2.75401
77	2.7811
78	2.70954
79	2.58962
80	2.45688
81	2.37629
82	2.53412
83	2.6125
84	2.97847
85	2.98971
86	3.09829
87	3.10244
88	3.13785
89	3.15794
90	3.19854
91	3.22434
92	3.2332
93	3.4587
94	3.45415
95	3.57687
96	3.56225
97	3.69663
98	3.67301
99	3.84506
100	3.86507
101	4.01057
102	4.10158
103	4.09653
104	3.98659
105	3.86869
106	3.69548
107	3.50006
108	3.42506
109	3.32867
110	3.26637
111	3.18386
112	3.14145
113	3.08599
114	2.83329
115	2.86896
116	2.87885
117	3.07264
118	3.2131
119	3.2481
120	3.29861
121	3.14096
122	3.19165
123	3.29423
124	3.34594
125	3.44648
126	3.54612
127	3.49259
128	3.52884
129	3.50544
130	3.45672
131	3.17368
132	2.89568
133	2.82666
134	2.75664
135	2.80553
136	2.68927
137	2.83969
138	2.88177
139	2.89613
140	2.87026
141	3.06118
142	3.1607
143	3.20029
144	2.95853
145	2.93668
146	2.80689
147	2.7912
148	2.83208
149	2.95973
150	2.95044
151	3.18862
152	3.3172
153	3.33077
154	3.54443
155	3.67367
156	3.75014
157	3.85839
158	3.9027
159	3.86097
160	3.84085
161	3.74686
162	3.66914
163	3.51425
164	3.5338
165	3.45803
166	3.46343
167	3.47594
168	3.51606
169	3.37577
170	3.44241
171	3.38865
172	3.37239
173	3.51596
174	3.57109
175	3.70882
176	3.74856
177	3.70898
178	3.78122
179	3.80258
180	3.85886
181	3.91898
182	3.93265
183	3.94977
184	3.93339
185	3.95477
186	3.92846
187	3.93807
188	3.87227
189	3.89902
190	4.01438
191	4.1374
192	4.11927
193	4.1377
194	4.16746
195	4.17498
196	4.20911
197	4.15833
198	4.20556
199	4.09493
200	4.20504
