frame	ave_fps
2	44.0162
3	55.6742
4	50.0581
5	40.063
6	36.9752
7	33.9255
8	36.3212
9	38.6283
10	40.0442
11	42.3364
12	44.7309
13	46.9345
14	49.036
15	50.9287
16	52.7154
17	54.4292
18	56.0415
19	56.1793
20	57.0001
21	58.2873
22	59.5861
23	60.7973
24	61.9768
25	62.8519
26	63.9301
27	64.9456
28	65.7818
29	66.6955
30	67.5921
31	68.4119
32	69.2257
33	69.9994
34	70.7175
35	71.3904
36	72.0969
37	72.732
38	73.3354
39	73.952
40	74.5141
41	74.959
42	75.2508
43	75.4304
44	75.4965
45	75.9559
46	76.1974
47	76.6504
48	76.5666
49	75.4635
50	75.8797
51	76.3305
52	76.7698
53	77.1853
54	77.5979
55	77.9763
56	78.3737
57	78.6033
58	77.6755
59	77.9927
60	78.3187
61	78.6695
62	79.0133
63	79.3553
64	79.6669
65	79.9863
66	80.285
67	80.5924
68	80.8832
69	81.1764
70	81.4479
71	81.7241
72	81.9723
73	82.2463
74	82.5356
75	82.7603
76	82.9908
77	83.2574
78	83.493
79	83.7382
80	83.6772
81	83.8365
82	83.9623
83	84.1471
84	84.3577
85	84.3668
86	84.5686
87	84.6813
88	83.2894
89	82.4039
90	82.3077
91	82.4271
92	82.5632
93	82.5916
94	82.7216
95	82.0986
96	82.2292
97	82.4238
98	82.5958
99	82.7238
100	82.9107
101	83.069
102	83.2405
103	83.4258
104	83.613
105	83.7763
106	83.9059
107	84.0796
108	84.2412
109	84.3816
110	84.539
111	84.7159
112	84.8683
113	85.0238
114	85.1804
115	85.335
116	85.4952
117	85.6372
118	85.6884
119	85.7505
120	85.9122
121	86.0772
122	86.1709
123	86.2939
124	86.4325
125	86.2977
126	85.9457
127	86.086
128	86.2165
129	86.3523
130	86.4671
131	86.6055
132	86.7071
133	86.8561
134	85.8576
135	85.8384
136	85.9727
137	86.106
138	86.2396
139	86.3822
140	86.5025
141	86.6412
142	86.7772
143	86.8986
144	87.0161
145	87.1398
146	87.2652
147	87.405
148	87.534
149	87.6486
150	87.7821
151	87.8976
152	88.0034
153	88.1166
154	88.2082
155	88.3074
156	88.4205
157	88.5007
158	88.5986
159	88.6607
160	88.7428
161	88.7279
162	88.8153
163	88.85
164	88.9343
165	88.3563
166	88.394
167	88.4469
168	88.5251
169	88.6223
170	88.7015
171	88.7229
172	88.7489
173	88.8408
174	88.7722
175	88.5991
176	88.6422
177	88.7106
178	88.7918
179	88.8772
180	88.9595
181	89.0363
182	89.1145
183	89.2042
184	89.2756
185	89.3506
186	89.4117
187	89.4883
188	89.5704
189	89.6364
190	89.7295
191	89.7912
192	89.861
193	89.9539
194	90.0065
195	90.0872
196	90.1312
197	90.186
198	90.1957
199	90.2722
200	90.3007
