frame	x	y	width	height
1	172	171	114	109
2	172	165	114	109
3	173	159	114	109
4	175	156	112	109
5	171	153	113	109
6	174	149	108	105
7	176	150	107	100
8	170	149	115	97
9	171	149	113	97
10	172	149	112	97
11	173	149	111	97
12	174	149	110	98
13	176	149	109	98
14	177	149	108	98
15	178	149	107	98
16	179	149	106	99
17	181	149	105	99
18	185	149	104	98
19	189	149	102	97
20	193	149	102	96
21	197	150	101	95
22	205	150	100	95
23	213	151	100	95
24	221	152	100	95
25	229	153	100	96
26	237	154	100	96
27	245	155	100	96
28	253	156	100	96
29	261	157	100	97
30	267	158	100	97
31	273	160	100	97
32	279	161	101	97
33	286	163	101	97
34	290	165	102	97
35	295	168	102	97
36	294	170	103	98
37	291	168	102	97
38	289	167	102	97
39	287	166	102	97
40	285	165	101	97
41	283	164	101	97
42	281	163	101	97
43	279	162	101	97
44	277	161	100	97
45	270	159	100	97
46	264	157	100	97
47	258	156	100	97
48	249	153	101	97
49	241	151	102	97
50	233	149	103	98
51	225	147	104	98
52	214	145	104	98
53	204	143	104	97
54	193	142	103	96
55	182	140	103	95
56	172	138	103	95
57	161	138	103	95
58	150	137	103	96
59	139	137	102	96
60	128	140	102	97
61	117	142	102	97
62	107	145	102	98
63	98	149	103	98
64	89	153	104	98
65	80	158	105	99
66	73	164	106	99
67	65	170	107	99
68	58	177	109	100
69	55	182	109	100
70	52	187	110	100
71	53	191	110	100
72	55	196	111	100
73	57	200	111	101
74	62	203	112	101
75	67	205	112	101
76	72	206	113	101
77	77	207	114	102
78	89	206	113	102
79	101	206	112	103
80	113	206	112	104
81	125	206	111	105
82	137	206	110	106
83	149	206	110	106
84	161	206	109	107
85	177	206	107	103
86	194	207	105	99
87	201	205	116	105
88	222	203	100	102
89	231	202	103	99
90	239	200	107	97
91	248	199	111	95
92	258	196	108	95
93	269	193	105	96
94	276	193	107	92
95	280	188	106	98
96	285	184	105	103
97	290	179	102	99
98	296	174	100	96
99	292	169	100	97
100	288	165	101	98
101	284	160	102	99
102	280	156	102	100
103	277	152	103	101
104	272	147	104	102
105	271	145	101	96
106	261	143	110	98
107	254	140	105	97
108	248	137	101	96
109	239	134	102	97
110	229	130	103	97
111	217	130	105	98
112	205	130	106	98
113	193	130	108	99
114	185	130	107	98
115	177	130	105	97
116	169	130	104	96
117	159	132	105	96
118	148	134	105	97
119	138	136	105	97
120	128	138	106	97
121	121	144	106	98
122	113	149	106	98
123	106	155	106	99
124	98	160	107	100
125	93	167	107	100
126	88	175	107	101
127	83	182	107	101
128	82	189	107	102
129	81	197	108	102
130	87	201	108	103
131	93	206	108	103
132	99	211	108	104
133	105	216	108	104
134	111	220	108	104
135	117	225	108	105
136	128	226	108	105
137	139	226	108	106
138	150	227	109	106
139	161	228	109	106
140	174	227	109	107
141	187	225	110	107
142	200	224	110	107
143	213	223	110	107
144	227	222	110	107
145	236	219	111	107
146	245	216	112	107
147	254	213	112	107
148	263	210	113	107
149	272	207	114	107
150	281	204	114	107
151	282	198	115	108
152	283	193	115	108
153	284	187	116	109
154	286	181	116	109
155	287	176	116	110
156	288	170	117	110
157	283	166	117	111
158	278	162	118	111
159	273	157	118	112
160	268	153	118	113
161	263	148	119	113
162	258	144	119	114
163	253	140	119	114
164	248	135	120	115
165	239	133	120	115
166	231	131	120	116
167	223	129	121	116
168	214	127	121	117
169	205	127	122	117
170	196	128	122	118
171	188	127	122	118
172	179	126	123	119
173	171	126	123	119
174	164	128	124	119
175	157	131	124	119
176	148	132	125	120
177	139	133	125	120
178	130	135	126	120
179	127	136	126	121
180	123	137	127	121
181	120	138	128	122
182	121	139	128	122
183	123	140	129	123
184	124	141	130	123
185	126	141	130	124
186	127	142	131	124
187	129	142	132	125
188	131	142	134	126
189	133	142	135	127
190	135	142	136	128
191	137	142	137	128
192	139	143	139	129
193	141	143	140	130
194	143	143	141	131
195	142	141	142	131
196	142	140	142	132
197	141	139	142	132
198	141	137	142	132
199	141	136	142	133
200	140	135	143	133
201	144	136	141	133
