frame	x	y	width	height
2	172	169	114	109
3	172	166	114	109
4	172	164	114	109
5	172	162	114	109
6	172	161	114	109
7	172	160	114	109
8	172	158	114	109
9	173	159	114	109
10	172	158	114	109
11	172	158	114	109
12	172	158	114	109
13	172	158	114	109
14	173	159	114	109
15	172	159	114	109
16	173	159	114	109
17	173	158	114	109
18	174	159	114	109
19	176	158	114	109
20	177	159	114	109
21	180	158	114	109
22	181	157	120	114
23	188	154	120	114
24	201	150	120	114
25	212	152	120	114
26	220	151	120	114
27	228	151	120	114
28	236	151	120	114
29	246	153	120	114
30	253	153	120	114
31	262	156	120	114
32	272	157	120	114
33	276	159	120	114
34	283	160	120	114
35	287	162	120	114
36	288	162	120	114
37	288	162	120	114
38	287	162	120	114
39	286	162	120	114
40	285	162	120	114
41	283	161	120	114
42	280	161	120	114
43	278	160	120	114
44	275	159	120	114
45	271	159	120	114
46	265	158	120	114
47	258	156	120	114
48	249	156	120	114
49	242	155	120	114
50	234	154	120	114
51	227	154	120	114
52	218	152	120	114
53	209	149	120	114
54	197	145	120	114
55	184	146	120	114
56	174	148	120	114
57	167	148	120	114
58	161	147	120	114
59	151	145	120	114
60	134	141	120	114
61	120	140	126	120
62	110	143	126	120
63	101	146	126	120
64	89	149	126	120
65	78	151	126	120
66	72	155	126	120
67	68	157	126	120
68	64	161	126	120
69	60	163	126	120
70	56	165	126	120
71	56	165	126	120
72	60	169	126	120
73	59	166	132	126
74	63	168	132	126
75	68	169	132	126
76	68	168	139	132
77	74	172	139	132
78	78	177	139	132
79	81	186	139	132
80	90	186	139	132
81	92	195	139	132
82	107	196	132	126
83	126	193	132	126
84	140	190	132	126
85	152	185	132	126
86	162	172	132	126
87	175	167	132	126
88	191	169	132	126
89	207	169	132	126
90	219	167	132	126
91	230	166	132	126
92	242	165	132	126
93	255	163	132	126
94	261	163	132	126
95	266	161	132	126
96	272	162	132	126
97	275	160	132	126
98	277	159	132	126
99	278	158	132	126
100	278	157	132	126
101	277	156	132	126
102	275	154	132	126
103	271	153	132	126
104	267	150	132	126
105	261	147	132	126
106	256	144	132	126
107	250	141	132	126
108	244	139	132	126
109	237	136	132	126
110	229	137	132	126
111	219	134	132	126
112	210	131	132	126
113	200	127	132	126
114	189	126	132	126
115	174	127	132	126
116	166	129	132	126
117	159	131	132	126
118	149	132	132	126
119	139	131	132	126
120	128	131	132	126
121	121	134	132	126
122	115	138	132	126
123	107	141	132	126
124	98	148	132	126
125	93	152	132	126
126	84	156	132	126
127	79	161	132	126
128	76	164	132	126
129	74	167	132	126
130	74	170	132	126
131	75	178	132	126
132	79	189	132	126
133	82	200	132	126
134	86	208	132	126
135	96	209	132	126
136	106	214	132	126
137	118	216	132	126
138	132	217	132	126
139	142	217	132	126
140	153	216	132	126
141	167	216	132	126
142	177	217	132	126
143	190	219	132	126
144	203	219	132	126
145	216	215	132	126
146	229	211	132	126
147	243	203	132	126
148	254	191	132	126
149	266	180	132	126
150	273	179	132	126
151	278	179	132	126
152	281	176	132	126
153	283	174	132	126
154	284	170	132	126
155	284	168	132	126
156	283	165	132	126
157	282	162	132	126
158	280	161	132	126
159	277	159	132	126
160	273	158	132	126
161	269	155	132	126
162	264	151	132	126
163	258	148	132	126
164	250	145	132	126
165	244	144	132	126
166	237	143	132	126
167	230	143	132	126
168	222	142	132	126
169	215	140	132	126
170	201	133	139	132
171	192	132	139	132
172	182	133	139	132
173	175	134	139	132
174	166	134	139	132
175	159	138	139	132
176	153	139	139	132
177	146	141	139	132
178	137	139	145	139
179	131	141	145	139
180	127	142	145	139
181	125	144	145	139
182	126	144	145	139
183	125	145	145	139
184	128	145	145	139
185	131	146	145	139
186	134	147	145	139
187	138	148	145	139
188	142	148	145	139
189	144	148	145	139
190	144	148	145	139
191	147	148	145	139
192	149	147	145	139
193	149	147	145	139
194	151	147	145	139
195	153	146	145	139
196	153	146	145	139
197	152	147	145	139
198	152	146	145	139
199	147	143	153	146
200	147	142	153	146
