frame	PSR
2	4.60381
3	4.58812
4	4.37378
5	4.2541
6	4.39764
7	4.19102
8	3.89501
9	3.67158
10	3.63621
11	3.96214
12	4.13942
13	4.11676
14	3.76586
15	3.78528
16	3.94438
17	4.38301
18	4.00844
19	4.21106
20	3.92235
21	4.18812
22	4.19794
23	4.09689
24	4.26411
25	4.29801
26	4.29323
27	4.09686
28	4.26708
29	4.14488
30	4.26352
31	4.31095
32	3.92121
33	4.06194
34	3.7156
35	3.55583
36	3.35695
37	3.14718
38	3.00071
39	3.0057
40	3.21097
41	3.45562
42	3.41369
43	3.41827
44	3.34788
45	3.24458
46	3.06449
47	3.09899
48	3.21225
49	3.19477
50	3.03848
51	3.1649
52	3.31939
53	3.41368
54	3.12272
55	3.23355
56	3.73275
57	3.43276
58	3.44055
59	3.58221
60	4.10896
61	4.28667
62	4.18795
63	4.03731
64	4.07817
65	3.99091
66	3.82135
67	4.03332
68	3.91131
69	4.022
70	3.52867
71	3.53256
72	3.38399
73	3.13875
74	3.0189
75	2.82718
76	3.23886
77	3.16396
78	3.01172
79	3.04717
80	2.93605
81	2.87533
82	2.60505
83	3.03924
84	2.79723
85	3.04282
86	2.90146
87	3.02829
88	3.11436
89	3.52509
90	3.03904
91	3.19661
92	3.23325
93	3.40002
94	3.35524
95	3.45226
96	3.26871
97	3.09842
98	3.10609
99	3.14587
100	3.47083
101	3.59901
102	3.40851
103	3.36904
104	3.65412
105	3.84419
106	3.51123
107	2.76135
108	2.78648
109	2.86201
110	3.81717
111	3.84184
112	3.82053
113	3.7818
114	3.93048
115	3.80732
116	4.10979
117	4.13915
118	3.83452
119	3.69547
120	3.41293
121	3.33347
122	3.44897
123	3.45364
124	3.12748
125	2.89903
126	2.93792
127	3.28305
128	3.09824
129	3.13047
130	3.23209
131	2.9981
132	3.07439
133	3.20013
134	3.38635
135	3.41404
136	3.38758
137	3.28362
138	3.25264
139	2.93357
140	3.0661
141	3.28781
142	3.71167
143	3.84369
144	3.88441
145	3.5905
146	3.40467
147	3.44309
148	3.58155
149	3.58923
150	3.46783
151	3.23888
152	3.2529
153	3.3912
154	3.50034
155	3.6189
156	3.90998
157	3.82889
158	3.60832
159	3.3738
160	3.36616
161	3.46252
162	3.39075
163	3.51083
164	3.87488
165	3.65328
166	3.39211
167	3.27141
168	3.22402
169	3.36908
170	3.23722
171	3.51126
172	3.17364
173	3.26761
174	3.49156
175	3.41775
176	3.40792
177	3.32408
178	3.36629
179	3.44902
180	3.3663
181	3.45396
182	3.50407
183	3.55756
184	3.70295
185	3.58451
186	3.50777
187	3.52132
188	3.58599
189	3.34516
190	3.2171
191	3.28187
192	2.9245
193	2.91964
194	3.04846
195	3.2189
196	3.32389
197	3.54999
198	3.69445
199	3.75058
200	3.81314
201	3.78693
202	3.57761
203	3.6671
204	3.68182
205	3.87023
206	3.61671
207	3.88428
208	3.78957
209	3.62171
210	3.55624
211	3.52069
212	3.65194
213	3.70317
214	3.24948
215	3.16535
216	3.16746
217	3.36471
218	3.4459
219	3.59163
220	3.85527
221	3.79925
222	3.59538
223	3.59275
224	3.68866
225	3.70074
226	3.61212
227	3.46873
228	3.65132
229	3.70587
230	3.71984
231	3.53804
232	3.63605
233	3.50947
234	3.01297
235	2.79446
236	3.08753
237	2.98184
238	3.02955
239	2.98101
240	3.23021
241	3.21004
242	3.68785
243	3.28759
244	3.56439
245	3.54031
246	3.36143
247	3.53766
248	3.76507
249	3.62532
250	3.48035
251	3.31267
252	2.87831
253	2.92407
254	2.74295
255	2.62713
256	3.05663
257	3.17112
258	3.06882
259	3.09477
260	3.08715
261	3.28758
262	3.35278
263	3.2174
264	3.29957
265	3.20587
266	3.28078
267	3.15238
268	2.98104
269	2.8024
270	2.90972
271	2.95318
272	3.16239
273	3.23233
274	3.26884
275	3.41121
276	3.4489
277	3.58705
278	3.44341
279	3.39632
280	3.44361
281	3.49235
282	3.55344
283	3.57064
284	3.26709
285	3.62823
286	3.20041
287	3.08441
288	2.78689
289	2.90218
290	3.57647
291	3.52957
292	3.43061
293	3.15319
294	3.14571
295	3.70082
296	3.77864
297	3.70772
298	3.59707
299	3.58347
300	3.37214
301	3.2923
302	3.001
303	3.24748
304	3.26502
305	3.04619
306	3.22343
307	3.43218
308	3.5207
309	3.31803
310	3.62288
311	3.78983
312	3.78312
313	3.68989
314	3.2728
315	2.90846
316	3.40633
317	3.53068
318	3.67855
319	3.54928
320	3.13966
321	2.73625
322	3.08336
323	3.63746
324	3.24318
325	3.34839
326	3.10712
327	2.94917
328	2.94197
329	2.88917
330	3.24398
331	2.99251
332	3.0043
333	3.37483
334	3.57389
335	3.53908
336	2.80905
337	2.76895
338	2.84459
339	2.79701
340	1.93172
341	2.20438
342	3.21472
343	2.53031
344	2.984
345	2.75093
346	3.06726
347	3.52796
348	3.38418
349	2.77996
350	2.58231
351	2.59178
352	3.08202
353	3.23769
354	2.22528
355	2.27982
356	2.55871
357	2.76335
358	2.79925
359	2.75255
360	3.35675
361	3.70077
362	3.45126
363	3.7927
364	3.79348
