frame	ave_fps
2	50.9169
3	46.3091
4	47.8138
5	50.3399
6	51.8923
7	49.093
8	51.9502
9	55.768
10	59.2611
11	62.1717
12	65.0412
13	67.1694
14	69.4711
15	71.4592
16	73.3347
17	74.998
18	76.6006
19	77.955
20	79.1824
21	80.4617
22	81.6602
23	82.6976
24	83.8397
25	84.8028
26	85.7203
27	86.6986
28	87.4049
29	88.1481
30	88.0862
31	88.7013
32	89.3377
33	89.2873
34	89.8922
35	89.294
36	88.403
37	88.9684
38	89.5601
39	90.1188
40	90.6551
41	91.1504
42	90.5205
43	90.9838
44	90.8204
45	90.6747
46	91.0749
47	91.4934
48	91.8447
49	92.2543
50	92.5991
51	92.9988
52	93.3653
53	93.6954
54	94.0268
55	94.3922
56	94.773
57	95.1053
58	95.4057
59	95.737
60	96.0653
61	96.3323
62	96.579
63	96.8283
64	97.1097
65	97.3028
66	97.4136
67	97.6791
68	97.9093
69	98.1637
70	98.4086
71	98.6156
72	98.7925
73	97.8152
74	97.8082
75	97.9811
76	98.1704
77	98.384
78	98.4772
79	98.5728
80	98.7325
81	98.6738
82	98.457
83	98.3216
84	98.5198
85	98.7191
86	98.8605
87	99.0168
88	99.1937
89	99.3924
90	99.5553
91	99.7137
92	99.8778
93	100.072
94	100.208
95	100.343
96	100.504
97	100.66
98	100.784
99	100.921
100	101.03
101	101.163
102	101.278
103	101.263
104	101.395
105	101.142
106	101.191
107	101.073
108	101.103
109	101.12
110	100.786
111	99.9845
112	100.051
113	100.162
114	100.282
115	100.386
116	100.494
117	100.605
118	100.72
119	100.558
120	100.365
121	100.469
122	100.566
123	100.643
124	100.721
125	100.844
126	100.963
127	101.051
128	101.112
129	101.209
130	101.285
131	101.377
132	101.439
133	101.518
134	101.591
135	101.659
136	101.744
137	101.806
138	101.875
139	101.959
140	101.873
141	101.959
142	102.042
143	101.879
144	101.908
145	101.972
146	101.843
147	101.611
148	101.605
149	101.668
150	101.742
151	101.821
152	101.905
153	101.924
154	101.829
155	101.549
156	101.146
157	100.921
158	100.673
159	100.449
160	100.288
161	100.113
162	99.9303
163	99.7336
164	99.5419
165	99.4468
166	99.3472
167	99.2426
168	99.0565
169	98.9732
170	99.0371
171	99.0915
172	99.1696
173	99.1819
174	99.1556
175	99.229
176	99.1843
177	99.2569
178	99.3201
179	98.8419
180	98.7732
181	98.8062
182	98.863
183	98.9251
184	99
185	99.0643
186	99.1461
187	99.2078
188	98.7666
189	98.7888
190	98.8531
191	98.9331
192	98.9864
193	99.0554
194	99.1342
195	99.207
196	99.2878
197	99.3669
198	99.421
199	99.4914
200	99.5651
201	99.6342
202	99.7066
203	99.7428
204	99.8128
205	99.8691
206	99.9481
207	100.009
208	100.072
209	100.083
210	100.153
211	100.221
212	100.232
213	100.254
214	100.03
215	100.046
216	99.6088
217	99.6577
218	99.721
219	99.7842
220	99.8389
221	99.9074
222	99.9541
223	100.017
224	100.012
225	99.7051
226	99.7277
227	99.7688
228	99.8354
229	99.9101
230	99.9679
231	100.036
232	100.096
233	100.147
234	100.208
235	100.252
236	100.303
237	100.368
238	100.429
239	100.485
240	100.547
241	100.588
242	100.65
243	100.698
244	100.74
245	100.798
246	100.824
247	100.758
248	100.658
249	100.598
250	100.534
251	100.568
252	100.606
253	100.043
254	100.08
255	100.126
256	100.167
257	100.226
258	100.28
259	100.329
260	100.385
261	100.446
262	100.379
263	100.381
264	100.419
265	100.467
266	100.492
267	100.55
268	100.598
269	100.653
270	100.697
271	100.749
272	100.804
273	100.854
274	100.913
275	100.963
276	101.014
277	101.069
278	101.112
279	101.149
280	101.192
281	101.242
282	101.288
283	101.313
284	101.355
285	101.394
286	101.445
287	101.499
288	101.527
289	101.571
290	101.612
291	101.112
292	101.146
293	101.191
294	101.228
295	101.262
296	101.31
297	101.35
298	101.4
299	101.424
300	101.36
301	101.292
302	101.317
303	101.365
304	101.41
305	101.452
306	101.478
307	101.516
308	101.542
309	101.586
310	101.628
311	101.664
312	101.698
313	101.726
314	101.756
315	101.789
316	101.783
317	101.817
318	101.853
319	101.889
320	101.933
321	101.974
322	101.994
323	101.93
324	101.961
325	102
326	102.036
327	102.069
328	102.083
329	101.8
330	101.829
331	101.853
332	101.882
333	101.916
334	101.955
335	101.988
336	102.021
337	102.052
338	101.76
339	101.765
340	101.795
341	101.824
342	101.845
343	101.877
344	101.91
345	101.943
346	101.975
347	102.011
348	102.031
349	102.069
350	102.105
351	102.139
352	102.172
353	102.207
354	102.241
355	102.267
356	102.294
357	102.327
358	102.328
359	102.367
360	102.398
361	102.429
362	102.46
363	102.465
364	102.477
