frame	x	y	width	height
1	32	60	68	78
2	39	63	68	78
3	47	67	68	77
4	55	70	68	78
5	63	74	68	78
6	71	78	68	78
7	79	81	68	78
8	87	85	68	77
9	95	88	67	78
10	103	92	68	78
11	111	96	68	78
12	117	93	68	78
13	123	91	68	78
14	130	89	68	78
15	136	87	68	78
16	142	84	68	78
17	149	82	68	78
18	155	80	68	78
19	162	78	68	78
20	177	77	68	77
21	193	77	68	78
22	209	77	68	78
23	225	76	67	77
24	241	76	68	78
25	257	76	68	78
26	267	75	68	77
27	277	75	68	78
28	287	75	68	78
29	287	72	68	77
30	287	70	68	78
31	288	68	68	78
32	273	68	68	78
33	259	68	68	77
34	245	69	68	78
35	230	69	68	78
36	216	69	67	77
37	202	70	68	78
38	189	73	68	77
39	177	77	68	78
40	165	81	68	78
41	156	84	68	78
42	148	88	68	78
43	141	88	68	78
44	135	89	68	78
45	129	90	68	78
46	123	91	68	78
47	119	90	68	78
48	116	90	68	78
49	113	90	68	78
50	110	90	67	77
51	107	90	68	78
52	114	89	68	78
53	121	88	68	78
54	138	86	68	78
55	155	85	68	78
56	172	84	68	78
57	189	83	68	78
58	207	82	68	78
59	226	81	67	77
60	245	81	68	78
61	257	79	68	78
62	269	78	68	78
63	279	74	68	77
64	290	71	68	78
65	301	68	68	78
66	303	66	68	78
67	305	64	68	77
68	307	63	68	78
69	292	68	69	77
70	278	73	70	76
71	264	78	72	76
72	241	83	74	76
73	219	88	76	76
74	194	88	77	77
75	169	88	79	79
76	144	88	81	80
77	120	89	83	82
78	100	86	82	81
79	81	84	82	80
80	62	82	82	79
81	43	80	82	78
82	24	78	82	78
83	13	80	69	81
84	2	83	56	85
85	1	82	56	87
86	1	81	56	90
87	1	81	57	92
88	1	80	57	95
89	1	80	58	98
90	1	82	62	92
91	1	84	66	87
92	2	87	70	82
93	4	87	76	83
94	6	87	82	85
95	8	87	89	87
96	19	89	88	86
97	31	91	88	85
98	43	93	88	84
99	55	95	88	83
100	67	97	88	82
101	79	99	88	81
102	91	101	88	80
103	113	103	82	77
104	136	105	76	75
105	159	107	71	73
106	180	108	71	73
107	202	109	72	74
108	224	110	72	74
109	246	111	73	75
110	268	112	73	75
111	290	113	74	76
112	312	114	75	77
113	325	108	75	78
114	339	102	75	79
115	353	96	75	81
116	353	93	75	83
117	353	90	76	85
118	344	85	77	84
119	335	80	79	84
120	319	81	79	83
121	304	82	79	82
122	289	83	79	81
123	274	84	79	81
124	267	86	79	80
125	260	88	79	79
126	254	91	80	79
127	250	92	79	79
128	247	94	77	79
129	244	96	77	80
130	229	93	76	80
131	215	91	75	80
132	200	89	75	81
133	186	86	74	81
134	171	84	73	81
135	157	82	73	82
136	171	85	74	82
137	186	88	75	83
138	201	92	77	84
139	215	95	78	84
140	230	98	79	85
141	245	102	81	86
142	245	101	79	84
143	245	101	77	83
144	245	101	75	81
145	246	101	74	80
146	242	101	72	78
147	239	102	70	77
148	236	102	68	75
149	233	103	67	74
150	222	97	66	73
151	231	94	66	72
152	241	92	67	71
153	250	90	68	70
154	260	88	69	70
155	271	83	68	71
156	282	79	68	73
157	293	75	67	74
158	305	71	67	76
159	302	70	69	73
160	300	70	71	71
161	298	70	73	69
162	296	70	75	67
163	288	79	76	71
164	281	88	77	76
165	274	97	79	81
166	267	98	78	82
167	261	99	77	82
168	255	101	76	84
169	243	93	75	85
