frame	x	y	width	height
2	37	63	68	78
3	40	68	68	78
4	47	75	68	78
5	55	79	68	78
6	64	81	68	78
7	74	83	68	78
8	84	86	65	74
9	91	89	65	74
10	101	93	65	74
11	110	93	65	74
12	119	93	65	74
13	127	93	65	74
14	132	91	65	74
15	137	87	65	74
16	143	83	65	74
17	150	82	62	71
18	155	78	62	71
19	164	76	62	71
20	178	74	62	71
21	193	75	62	71
22	210	75	62	71
23	228	74	62	71
24	244	75	62	71
25	259	74	62	71
26	273	74	62	71
27	285	74	62	71
28	293	72	62	71
29	295	70	62	71
30	295	69	62	71
31	288	68	62	71
32	276	69	62	71
33	262	69	62	71
34	249	67	62	71
35	235	66	62	71
36	220	68	62	71
37	209	75	62	71
38	194	77	62	71
39	176	77	65	74
40	166	80	65	74
41	161	86	65	74
42	155	90	65	74
43	146	92	65	74
44	137	93	65	74
45	130	90	65	74
46	120	92	65	74
47	117	93	65	74
48	113	90	65	74
49	110	91	65	74
50	107	91	65	74
51	106	91	65	74
52	107	90	65	74
53	113	90	65	74
54	123	86	65	74
55	145	86	65	74
56	166	85	65	74
57	185	83	65	74
58	206	82	65	74
59	225	81	65	74
60	243	80	65	74
61	258	79	65	74
62	272	78	65	74
63	287	75	65	74
64	297	70	65	74
65	304	67	65	74
66	309	66	65	74
67	310	64	65	74
68	307	64	65	74
69	298	67	65	74
70	285	72	65	74
71	264	78	68	78
72	243	82	71	82
73	224	87	71	82
74	199	84	75	86
75	172	86	79	90
76	144	86	83	95
77	124	82	83	95
78	103	79	83	95
79	82	69	87	100
80	63	64	87	100
81	47	61	87	100
82	32	57	87	100
83	22	54	87	100
84	8	54	87	100
85	-1	53	87	100
86	-6	56	87	100
87	-8	57	87	100
88	-5	58	87	100
89	-9	54	91	105
90	-5	50	91	105
91	-4	50	91	105
92	0	52	91	105
93	-2	53	91	105
94	-3	60	91	105
95	1	62	91	105
96	4	61	91	105
97	13	66	91	105
98	23	70	91	105
99	38	78	91	105
100	49	80	91	105
101	62	81	91	105
102	80	84	91	105
103	100	87	91	105
104	119	90	91	105
105	141	92	91	105
106	162	93	91	105
107	188	102	91	105
108	209	104	91	105
109	237	106	91	105
110	263	105	91	105
111	284	103	91	105
112	306	100	91	105
113	326	100	87	100
114	338	97	87	100
115	345	92	87	100
116	348	86	87	100
117	346	84	87	100
118	335	78	87	100
119	324	72	87	100
120	312	68	87	100
121	293	63	91	105
122	278	63	91	105
123	266	64	91	105
124	259	61	91	105
125	256	64	91	105
126	250	69	91	105
127	245	66	91	105
128	241	75	91	105
129	233	82	91	105
130	223	80	91	105
131	209	72	91	105
132	194	66	91	105
133	182	63	91	105
134	171	60	91	105
135	161	61	91	105
136	163	65	91	105
137	167	70	91	105
138	178	74	91	105
139	199	75	91	105
140	222	82	91	105
141	238	88	91	105
142	246	90	87	100
143	246	89	87	100
144	247	91	87	100
145	244	91	87	100
146	237	95	87	100
147	231	96	87	100
148	229	98	83	95
149	224	96	83	95
150	216	89	83	95
151	210	82	83	95
152	218	78	83	95
153	230	75	83	95
154	247	76	83	95
155	266	76	83	95
156	283	77	79	90
157	293	72	79	90
158	299	64	79	90
159	303	56	75	86
160	303	51	75	86
161	301	52	75	86
162	296	56	75	86
163	289	64	75	86
164	280	77	75	86
165	271	92	75	86
166	263	101	75	86
167	261	103	75	86
168	255	102	75	86
169	247	94	75	86
170	236	83	79	90
171	227	75	79	90
172	216	69	79	90
173	205	67	79	90
174	204	65	83	95
175	202	63	87	100
176	200	64	87	100
177	187	65	87	100
178	175	66	87	100
179	163	73	87	100
180	153	80	91	105
181	156	82	91	105
182	157	81	91	105
183	158	80	91	105
184	157	78	91	105
185	170	80	91	105
186	183	79	91	105
187	192	79	91	105
188	194	75	91	105
189	198	69	91	105
190	207	64	91	105
191	209	59	91	105
192	206	52	91	105
193	201	53	91	105
194	204	58	87	100
195	208	62	87	100
196	211	63	87	100
197	214	65	87	100
198	213	66	87	100
199	213	68	87	100
200	216	68	87	100
201	218	67	87	100
202	225	67	87	100
203	236	69	87	100
204	256	70	87	100
205	264	69	87	100
206	256	65	87	100
207	246	65	87	100
208	235	67	87	100
209	227	71	87	100
210	229	74	87	100
211	231	77	87	100
212	231	77	87	100
213	221	77	87	100
214	205	77	87	100
215	184	76	87	100
216	164	82	87	100
217	151	87	87	100
218	140	95	87	100
219	141	99	87	100
220	148	98	87	100
221	155	94	87	100
222	165	88	87	100
223	173	79	87	100
224	180	68	87	100
225	187	60	87	100
226	202	58	87	100
227	219	50	87	100
228	226	49	87	100
229	231	52	87	100
230	231	55	87	100
231	227	57	87	100
232	218	61	87	100
233	208	69	87	100
234	194	76	87	100
235	174	82	91	105
236	165	85	91	105
237	166	88	91	105
238	168	92	91	105
239	173	90	91	105
240	185	84	91	105
241	195	76	91	105
242	205	72	91	105
243	209	65	91	105
244	212	66	91	105
245	216	71	91	105
246	223	79	91	105
247	227	81	91	105
248	229	85	87	100
249	225	85	87	100
250	215	82	87	100
251	204	80	87	100
252	199	80	87	100
253	192	88	87	100
254	190	100	87	100
255	186	111	87	100
256	187	115	87	100
257	190	114	87	100
258	199	109	87	100
259	208	102	87	100
260	215	94	87	100
261	218	93	87	100
262	216	89	87	100
263	205	86	91	105
264	194	84	91	105
265	181	84	91	105
266	172	84	91	105
267	172	76	91	105
268	173	65	96	110
269	181	59	96	110
270	186	56	96	110
271	190	50	96	110
272	187	48	96	110
273	183	48	96	110
274	178	47	96	110
275	170	48	96	110
276	163	49	96	110
277	151	53	96	110
278	138	56	96	110
279	127	61	96	110
280	119	63	96	110
281	114	60	96	110
282	116	56	96	110
283	127	52	96	110
284	145	47	96	110
285	169	48	96	110
286	189	52	96	110
287	205	62	96	110
288	222	67	100	115
289	241	72	100	115
290	252	73	100	115
291	248	68	100	115
292	243	62	100	115
293	236	59	100	115
294	231	57	100	115
295	227	55	100	115
296	225	60	100	115
297	223	63	100	115
298	218	63	100	115
299	211	62	100	115
300	202	63	100	115
301	193	64	100	115
302	188	67	100	115
303	189	69	100	115
304	201	73	100	115
305	215	80	100	115
306	228	88	100	115
307	236	87	100	115
308	235	81	100	115
309	230	75	100	115
310	228	74	100	115
311	229	74	100	115
312	227	71	100	115
313	217	67	100	115
314	189	62	100	115
315	158	60	100	115
316	145	63	100	115
317	143	64	100	115
318	158	62	100	115
319	182	60	100	115
320	215	56	105	121
321	250	58	105	121
322	276	50	105	121
323	277	45	105	121
324	254	42	105	121
325	217	46	105	121
326	181	58	105	121
327	161	71	105	121
328	150	82	105	121
329	156	88	105	121
330	169	89	105	121
331	185	83	105	121
332	202	68	105	121
333	216	59	105	121
334	217	57	105	121
335	205	60	105	121
336	187	67	105	121
337	176	74	105	121
338	172	80	111	127
339	185	86	111	127
340	206	95	111	127
341	247	100	105	121
342	273	96	105	121
343	301	81	105	121
344	313	61	105	121
345	294	52	105	121
346	264	53	105	121
347	228	55	105	121
348	200	58	105	121
349	168	60	105	121
350	143	65	105	121
351	120	72	105	121
352	110	80	105	121
353	113	86	105	121
354	139	94	105	121
355	161	107	105	121
356	175	106	105	121
357	182	95	105	121
358	168	83	105	121
359	148	73	105	121
360	125	72	105	121
361	112	74	105	121
362	105	77	105	121
363	107	77	105	121
364	118	74	105	121
