frame	ave_fps
2	81.9991
3	70.7972
4	77.5223
5	69.3912
6	68.4913
7	74.5376
8	80.6117
9	86.0772
10	90.725
11	95.0966
12	98.8297
13	102.286
14	105.291
15	105.884
16	108.498
17	110.29
18	112.488
19	114.648
20	116.646
21	118.34
22	119.988
23	121.535
24	122.626
25	124.008
26	124.354
27	123.007
28	123.512
29	124.574
30	124.667
31	123.091
32	123.302
33	124.156
34	125.18
35	126.156
36	127.051
37	127.914
38	128.802
39	129.596
40	128.978
41	129.264
42	130.062
43	130.725
44	130.589
45	131.239
46	131.905
47	132.422
48	133.017
49	133.472
50	133.966
51	134.502
52	134.883
53	135.319
54	135.775
55	136.134
56	136.619
57	136.983
58	137.338
59	137.792
60	137.842
61	138.002
62	138.312
63	138.742
64	139.146
65	139.433
66	139.793
67	140.163
68	139.319
69	139.141
70	139.431
71	139.801
72	140.066
73	140.37
74	140.677
75	140.931
76	140.894
77	140.364
78	140.358
79	140.593
80	140.717
81	141.013
82	141.221
83	141.483
84	141.684
85	141.856
86	142.085
87	142.329
88	142.578
89	142.801
90	143.033
91	143.258
92	143.483
93	143.729
94	143.965
95	144.177
96	144.407
97	144.659
98	144.883
99	144.8
100	144.1
101	144.227
102	144.164
103	144.341
104	144.043
105	142.195
106	142.36
107	142.522
108	142.678
109	142.886
110	143.027
111	143.225
112	143.417
113	143.603
114	142.354
115	142.426
116	142.603
117	142.765
118	142.638
119	142.779
120	142.933
121	143.113
122	143.253
123	143.426
124	143.574
125	143.708
126	143.865
127	144.044
128	144.192
129	144.336
130	144.484
131	144.648
132	144.816
133	144.983
134	145.076
135	145.244
136	145.406
137	145.566
138	145.713
139	145.853
140	146
141	146.152
142	145.675
143	145.645
144	145.529
145	145.64
146	145.75
147	145.823
148	145.879
149	145.931
150	146.077
151	145.198
152	145.216
153	145.282
154	145.41
155	145.526
156	145.667
157	145.796
158	145.917
159	146.041
160	146.098
161	146.239
162	146.369
163	146.135
164	146.028
165	146.085
166	146.21
167	146.304
168	146.414
169	146.493
170	146.575
171	146.667
172	146.752
173	146.82
174	146.907
175	146.977
176	147.023
177	147.069
178	145.735
179	145.741
180	145.792
181	145.853
182	145.789
183	145.861
184	145.937
185	146.015
186	146.117
187	145.36
188	145.374
189	145.442
190	145.509
