frame	x	y	width	height
1	658	136	38	66
2	656	126	39	66
3	655	124	39	65
4	654	129	39	64
5	653	136	39	63
6	652	140	39	63
7	650	138	40	62
8	650	137	39	62
9	649	137	39	62
10	649	140	38	62
11	648	145	37	62
12	647	145	37	62
13	648	143	36	62
14	646	136	36	62
15	642	133	36	61
16	636	130	37	61
17	631	138	37	61
18	626	145	37	61
19	624	153	37	61
20	623	159	37	61
21	624	157	37	61
22	624	155	37	62
23	626	151	37	62
24	629	152	37	62
25	631	149	37	63
26	632	145	37	63
27	632	141	37	63
28	633	137	37	62
29	631	129	36	62
30	634	132	36	62
31	635	135	36	62
32	635	143	36	62
33	634	139	36	61
34	634	144	36	60
35	636	158	36	60
36	638	164	35	59
37	636	151	35	58
38	637	142	35	59
39	637	136	34	59
40	637	131	34	60
41	640	129	34	60
42	636	128	33	61
43	635	125	33	61
44	636	121	32	61
45	636	124	32	60
46	637	128	32	60
47	636	132	31	59
48	638	133	31	59
49	640	133	31	58
50	641	129	31	59
51	642	132	31	59
52	643	134	31	59
53	643	137	30	60
54	643	137	30	60
55	644	137	30	60
56	646	137	27	56
57	643	140	30	61
58	643	144	30	61
59	644	148	30	61
60	645	150	30	60
61	646	152	30	60
62	646	152	30	59
63	646	152	30	59
64	646	151	30	58
65	647	150	31	58
66	647	149	31	57
67	649	149	31	57
68	652	152	31	56
69	654	156	31	56
70	655	151	31	56
71	656	147	32	56
72	657	142	32	56
73	658	138	32	56
74	658	138	33	56
75	658	137	33	57
76	656	127	33	56
77	656	128	33	56
78	658	133	33	55
79	660	145	33	54
80	663	158	33	54
81	665	163	33	53
82	664	165	32	53
83	665	163	30	53
84	666	161	28	52
85	666	157	30	54
86	665	152	31	55
87	665	148	32	57
88	662	145	32	57
89	659	141	32	58
90	656	144	32	58
91	653	147	32	59
92	650	149	32	59
93	647	152	32	60
94	648	153	31	60
95	648	154	30	60
96	649	155	29	60
97	648	157	28	60
98	650	156	27	59
99	652	155	26	59
100	651	155	26	59
101	650	156	27	59
102	649	156	27	59
103	648	156	28	59
104	647	157	28	59
105	647	157	28	59
106	646	156	29	58
107	646	156	29	58
108	646	155	29	58
109	646	156	29	57
110	646	159	30	57
111	646	161	30	57
112	645	155	30	57
113	645	156	30	58
114	644	159	30	58
115	643	165	31	59
116	643	166	31	59
117	642	165	31	60
118	640	162	31	60
119	640	161	32	61
120	639	161	32	61
121	639	160	33	61
122	639	160	33	62
123	639	160	34	62
124	638	157	34	62
125	638	154	34	63
126	637	152	34	63
127	636	153	35	63
128	637	155	35	63
129	638	157	35	64
130	637	156	35	63
131	636	155	34	62
132	636	154	34	61
133	635	154	33	60
134	636	153	33	59
135	638	152	32	58
136	639	145	32	58
137	641	141	32	58
138	642	139	32	58
139	642	139	32	59
140	641	139	32	59
141	641	139	32	59
142	641	141	32	59
143	641	143	33	60
144	641	145	33	60
145	640	147	34	60
146	640	149	34	61
147	640	151	35	61
148	639	151	36	63
149	638	151	37	64
150	637	150	39	65
151	637	154	40	67
152	637	157	41	68
153	637	160	43	69
154	638	161	42	70
155	640	161	42	70
156	641	161	41	71
157	642	161	40	71
158	643	162	40	72
159	644	162	39	73
160	643	160	40	74
161	642	158	41	74
162	641	156	42	75
163	640	154	42	76
164	640	156	43	77
165	640	158	44	78
166	641	156	43	78
167	641	155	43	78
168	642	154	43	78
169	643	153	43	78
170	643	152	43	78
171	644	151	42	77
172	644	151	43	79
173	644	151	44	81
174	645	151	45	83
175	645	151	46	85
176	645	151	47	87
177	645	151	49	89
178	645	150	50	90
179	644	148	51	91
180	643	146	52	92
181	643	149	53	94
182	642	151	54	95
183	642	154	55	96
184	643	149	56	95
185	643	147	57	95
186	644	144	58	95
187	645	142	59	94
188	645	140	59	94
189	646	138	60	93
190	650	134	61	96
191	649	135	61	98
