frame	x	y	width	height
2	657	126	38	66
3	656	125	38	66
4	655	131	38	66
5	654	138	38	66
6	654	140	38	66
7	653	137	38	66
8	654	137	38	66
9	653	136	38	66
10	651	141	38	66
11	649	145	38	66
12	648	145	38	66
13	648	142	38	66
14	647	136	38	66
15	642	130	38	66
16	636	130	38	66
17	631	135	38	66
18	626	143	38	66
19	624	150	38	66
20	623	157	38	66
21	623	152	38	66
22	624	153	36	63
23	627	151	36	63
24	631	153	34	60
25	632	150	34	60
26	633	149	34	60
27	634	145	34	60
28	634	138	34	60
29	634	130	34	60
30	634	130	34	60
31	635	135	34	60
32	635	143	34	60
33	636	139	34	60
34	636	144	34	60
35	636	156	36	63
36	638	160	36	63
37	638	150	34	60
38	638	142	34	60
39	639	136	34	60
40	639	130	34	60
41	640	130	33	57
42	639	132	31	54
43	637	126	31	54
44	635	122	33	57
45	636	125	33	57
46	636	128	33	57
47	635	133	33	57
48	636	133	33	57
49	637	133	33	57
50	638	130	33	57
51	639	131	33	57
52	640	135	33	57
53	641	138	33	57
54	642	138	33	57
55	642	137	33	57
56	642	136	33	57
57	641	140	33	57
58	641	146	33	57
59	641	147	34	60
60	641	150	34	60
61	644	152	33	57
62	644	151	33	57
63	645	151	33	57
64	643	151	33	57
65	644	150	33	57
66	644	150	33	57
67	648	150	33	57
68	651	152	33	57
69	654	155	31	54
70	656	153	31	54
71	657	148	31	54
72	658	143	31	54
73	659	138	31	54
74	660	138	31	54
75	659	138	31	54
76	658	128	31	54
77	657	129	31	54
78	658	135	31	54
79	659	146	31	54
80	662	158	31	54
81	665	164	31	54
82	665	166	31	54
83	666	162	31	54
84	668	160	30	52
85	666	159	30	52
86	665	158	30	52
87	663	154	30	52
88	663	149	30	52
89	660	143	31	54
90	656	145	31	54
91	653	149	31	54
92	651	150	31	54
93	649	154	31	54
94	648	157	31	54
95	647	157	31	54
96	647	157	31	54
97	647	158	31	54
98	648	157	31	54
99	649	156	31	54
100	649	156	31	54
101	649	157	31	54
102	649	158	31	54
103	647	156	33	57
104	646	154	33	57
105	644	156	33	57
106	643	157	33	57
107	643	156	33	57
108	643	154	33	57
109	644	155	33	57
110	644	159	33	57
111	644	159	33	57
112	645	155	33	57
113	645	155	33	57
114	645	160	33	57
115	644	165	33	57
116	642	167	33	57
117	641	165	33	57
118	640	162	33	57
119	639	164	33	57
120	639	164	33	57
121	639	160	33	57
122	639	160	33	57
123	639	160	33	57
124	639	158	33	57
125	639	156	31	54
126	638	156	31	54
127	638	157	31	54
128	639	158	31	54
129	639	157	33	57
130	638	158	33	57
131	637	157	33	57
132	637	159	33	57
133	635	159	33	57
134	636	157	33	57
135	636	153	33	57
136	638	149	33	57
137	639	144	33	57
138	640	141	33	57
139	640	141	33	57
140	640	140	33	57
141	640	141	33	57
142	639	143	33	57
143	639	146	33	57
144	640	150	33	57
145	641	150	33	57
146	641	151	33	57
147	640	152	34	60
148	640	153	34	60
149	639	154	34	60
150	639	155	34	60
151	639	158	34	60
152	639	161	34	60
153	641	164	34	60
154	643	165	34	60
155	643	166	34	60
156	642	165	36	63
157	643	166	36	63
158	643	166	36	63
159	644	166	36	63
160	645	166	36	63
161	645	164	36	63
162	645	163	36	63
163	645	160	36	63
164	644	161	36	63
165	643	162	36	63
166	643	162	36	63
167	642	158	36	63
168	642	157	38	66
169	642	158	38	66
170	644	158	38	66
171	646	157	38	66
172	646	156	38	66
173	645	155	40	69
174	645	157	40	69
175	646	157	40	69
176	648	157	40	69
177	649	157	40	69
178	650	158	40	69
179	649	157	40	69
180	648	155	40	69
181	648	153	42	73
182	648	157	42	73
183	649	159	42	73
184	649	154	44	76
185	649	153	44	76
186	649	153	44	76
187	650	152	44	76
188	652	149	44	76
189	654	146	44	76
190	657	143	44	76
