frame	PSR
2	5.72356
3	5.24789
4	5.641
5	4.9541
6	4.85973
7	5.46315
8	4.8198
9	5.36884
10	5.12795
11	5.35411
12	5.2758
13	4.7191
14	4.98064
15	4.39602
16	4.86625
17	5.01324
18	4.26212
19	4.35029
20	5.36479
21	4.80593
22	4.5782
23	4.78604
24	4.96576
25	4.51993
26	4.4494
27	4.70033
28	4.84525
29	4.69332
30	4.92414
31	4.09277
32	5.0342
33	4.4404
34	4.63787
35	4.54686
36	4.56927
37	4.61968
38	4.66746
39	4.98744
40	4.61053
41	4.76459
42	4.98221
43	4.96068
44	4.95748
45	4.85456
46	5.18228
47	4.82202
48	4.65735
49	4.73173
50	5.14152
51	4.85292
52	4.63081
53	5.23889
54	5.10752
55	4.40921
56	4.54537
57	4.76259
58	4.49109
59	4.41885
60	4.49722
61	5.0186
62	4.65513
63	4.36859
64	4.52267
65	4.39905
66	4.88044
67	4.78703
68	4.6749
69	5.12384
70	5.22128
71	4.99633
72	4.88905
73	4.52177
74	4.822
75	4.78989
76	4.89183
77	5.16559
78	4.39818
79	4.75873
80	4.7073
81	5.30993
82	5.03055
83	4.61564
84	5.03675
85	4.93109
86	4.61777
87	4.88659
88	4.7985
89	4.90953
90	4.86788
91	5.14703
92	4.68356
93	4.42934
94	4.79361
95	5.05873
96	4.65218
97	5.10648
98	4.66464
99	4.90297
100	4.8772
101	5.14726
102	4.7814
103	5.09049
104	5.04913
105	4.53804
106	5.21001
107	4.80052
108	5.10904
109	5.06507
110	4.62489
111	5.07633
112	4.70787
113	5.3915
114	5.18015
115	4.94976
116	5.07391
117	5.20327
118	4.47492
119	4.76023
120	4.8445
121	5.07209
122	4.71037
123	4.67908
124	4.81344
125	4.83293
126	5.39707
127	5.1779
128	4.85604
129	5.20323
130	4.96872
131	4.64728
132	5.1478
133	4.99729
134	5.40893
135	4.86398
136	5.18472
137	5.09044
138	5.19731
139	5.04536
140	4.83485
141	5.18926
142	5.16417
143	5.30428
144	5.07284
145	5.28886
146	5.10435
147	5.40846
148	4.81384
149	5.16478
150	5.26343
151	5.44302
152	5.19865
153	5.40609
154	5.29679
155	4.80987
156	5.23236
157	5.34814
158	5.39646
159	5.2833
160	4.90333
161	5.01868
162	5.13974
163	5.07685
164	4.81198
165	4.81409
166	4.94216
167	4.89471
168	5.15339
169	5.021
170	5.1467
171	5.2083
172	5.10765
173	5.04768
174	5.32764
175	5.30204
176	5.1714
177	4.8381
178	4.98056
179	5.06554
180	5.15674
181	5.33398
182	5.12143
183	5.10628
184	4.84351
185	5.01369
186	5.19201
187	5.11155
188	5.1426
189	4.97771
190	4.9185
191	4.85187
192	4.85162
193	4.92009
194	4.76836
195	5.16691
196	4.67473
197	5.14579
198	4.95208
199	4.91353
200	4.96587
201	4.58338
202	4.53905
203	5.26687
204	4.77628
205	4.60988
206	4.84608
207	5.14811
208	4.99068
209	4.67827
210	4.51479
211	4.98412
212	4.82373
213	5.00827
214	5.15915
215	4.53413
216	4.8092
217	4.83352
218	4.84895
219	4.95451
220	4.95939
221	4.81114
222	4.99352
223	4.8829
224	5.08436
225	5.12264
226	5.21296
227	5.21913
228	5.2564
229	5.10668
230	5.23003
231	4.7264
232	5.1366
233	4.835
234	5.08887
235	4.75069
236	4.97344
237	4.802
238	4.96749
239	5.38622
240	5.23347
241	5.23454
242	4.8302
243	4.72826
244	5.1797
245	5.30069
246	4.53424
247	4.91861
248	4.85104
249	5.21278
250	4.63056
251	5.29315
252	5.20424
253	5.09626
254	4.96935
255	5.19665
256	5.03111
257	5.03423
258	4.77967
259	5.17634
260	5.23092
261	5.07238
262	5.03395
263	5.16226
264	5.05306
265	4.7098
266	4.85729
267	4.66027
268	4.65865
269	4.77372
270	4.57195
271	4.87331
272	4.68469
273	4.81857
274	4.5121
275	4.78338
276	4.79687
277	4.51731
278	4.69253
279	4.73285
280	4.41969
281	4.76059
282	4.72527
283	4.63844
284	4.5639
285	4.65163
286	4.44113
287	4.7984
288	4.80802
289	4.49681
290	4.72
291	4.53093
292	4.22073
293	4.55829
294	4.523
295	4.68745
296	4.56589
297	4.38034
298	4.49581
299	4.64137
300	4.49896
301	4.3964
302	4.09373
303	4.6121
304	4.80166
305	4.56117
306	4.68959
307	4.19978
308	4.39825
309	4.07277
310	4.74036
311	4.71839
