frame	ave_fps
2	64.6789
3	75.1254
4	60.2472
5	59.6737
6	63.4586
7	63.9696
8	67.3003
9	69.9553
10	73.1093
11	75.9752
12	78.353
13	80.2894
14	82.0445
15	84.4208
16	85.4103
17	87.4955
18	88.8761
19	90.3908
20	92.1708
21	92.9904
22	94.4003
23	95.4022
24	95.8877
25	97.392
26	97.7587
27	98.6216
28	98.7941
29	99.8827
30	101.062
31	101.266
32	102.243
33	102.626
34	103.436
35	104.423
36	104.451
37	104.714
38	105.28
39	105.639
40	105.814
41	106.247
42	106.539
43	107.287
44	107.336
45	107.89
46	108.107
47	108.214
48	108.886
49	108.773
50	109.36
51	109.941
52	109.009
53	109.594
54	109.579
55	109.174
56	108.666
57	108.197
58	107.76
59	106.699
60	105.782
61	105.845
62	105.005
63	104.454
64	103.925
65	103.457
66	102.569
67	100.931
68	100.614
69	100.5
70	100.824
71	101.25
72	101.053
73	101.425
74	101.511
75	101.492
76	101.648
77	101.931
78	102.338
79	102.451
80	102.64
81	102.831
82	103.117
83	103.252
84	103.551
85	103.911
86	103.964
87	104.279
88	103.978
89	104.323
90	104.383
91	104.705
92	104.967
93	105.007
94	105.193
95	105.28
96	105.37
97	105.47
98	105.713
99	106.004
100	105.406
101	105.468
102	105.755
103	105.92
104	105.763
105	105.707
106	105.992
107	105.965
108	106.169
109	105.887
110	105.417
111	104.485
112	104.212
113	104.415
114	104.354
115	104.394
116	104.57
117	104.805
118	104.797
119	105.059
120	105.099
121	105.311
122	105.387
123	105.562
124	105.797
125	105.675
126	105.914
127	105.93
128	106.157
129	106.186
130	106.366
131	106.551
132	106.583
133	106.767
134	106.852
135	107.023
136	107.113
137	107.219
138	107.449
139	107.525
140	107.712
141	107.922
142	108.013
143	108.186
144	108.082
145	108.289
146	108.262
147	108.431
148	108.468
149	108.619
150	108.772
151	108.67
152	108.752
153	107.75
154	106.944
155	106.587
156	106.616
157	106.487
158	106.459
159	106.643
160	106.637
161	106.813
162	106.863
163	106.999
164	106.901
165	107.047
166	107.083
167	107.207
168	107.342
169	107.365
170	107.494
171	107.491
172	107.655
173	107.495
174	107.607
175	107.742
176	107.736
177	107.856
178	107.887
179	107.978
180	108.14
181	108.109
182	108.266
183	108.332
184	108.363
185	108.519
186	108.505
187	108.662
188	108.609
189	108.747
190	108.873
191	108.886
192	109.004
193	108.911
194	108.934
195	108.924
196	108.623
197	107.901
198	107.51
199	107.643
200	107.646
201	107.767
202	107.769
203	107.751
204	107.693
205	107.817
206	107.835
207	107.965
208	108.063
209	108.122
210	108.179
211	108.314
212	108.32
213	108.438
214	108.415
215	108.555
216	108.579
217	108.706
218	108.839
219	108.823
220	108.963
221	108.988
222	109.108
223	109.215
224	109.223
225	109.336
226	109.368
227	109.486
228	109.586
229	109.586
230	109.687
231	109.719
232	109.818
233	109.814
234	109.868
235	109.979
236	109.97
237	109.996
238	110.043
239	110.118
240	109.775
241	109.421
242	108.973
243	109.001
244	109.088
245	109.18
246	109.199
247	109.266
248	109.181
249	109.274
250	109.303
251	109.394
252	109.393
253	109.473
254	109.508
255	109.584
256	109.619
257	109.698
258	109.743
259	109.734
260	109.784
261	109.78
262	109.898
263	109.92
264	110.033
265	110.05
266	110.123
267	110.075
268	110.102
269	110.112
270	110.194
271	110.284
272	110.163
273	110.238
274	110.303
275	110.406
276	110.313
277	110.419
278	110.405
279	110.504
280	110.48
281	110.586
282	110.576
283	110.177
284	109.941
285	110.036
286	110.02
287	110.12
288	110.129
289	110.213
290	110.286
291	110.297
292	110.379
293	110.415
294	110.479
295	110.568
296	110.553
297	110.638
298	110.743
299	110.731
300	110.741
301	110.741
302	110.838
303	110.879
304	110.9
305	110.941
306	110.982
307	111.075
308	110.98
309	111.076
310	111.101
311	111.142
