frame	x	y	width	height
1	328	308	22	31
2	326	307	22	31
3	327	305	22	32
4	327	304	23	32
5	325	308	23	33
6	322	309	23	33
7	323	306	24	34
8	323	304	23	34
9	323	303	23	34
10	319	305	23	34
11	317	305	23	34
12	318	303	23	34
13	319	300	23	34
14	321	303	24	35
15	322	308	25	35
16	322	307	26	36
17	321	307	25	35
18	324	305	25	35
19	325	304	25	34
20	325	306	25	34
21	328	313	25	34
22	326	312	26	35
23	329	311	27	36
24	327	310	28	37
25	324	309	29	38
26	322	309	30	40
27	319	309	29	39
28	319	307	28	38
29	321	309	27	38
30	320	308	26	37
31	318	311	25	37
32	318	309	26	38
33	316	307	27	39
34	316	308	28	40
35	317	308	29	41
36	319	309	30	42
37	320	311	29	41
38	322	314	28	40
39	323	310	28	40
40	323	310	27	39
41	326	311	27	39
42	324	309	28	39
43	323	308	29	39
44	317	308	30	40
45	316	313	31	40
46	317	314	29	37
47	316	314	29	38
48	315	314	29	39
49	314	313	29	40
50	315	311	29	41
51	317	307	29	42
52	318	304	30	43
53	317	303	31	44
54	317	304	32	45
55	318	305	33	46
56	320	302	34	47
57	321	303	33	46
58	323	304	33	46
59	324	306	33	46
60	326	303	33	46
61	328	299	33	46
62	329	297	33	46
63	328	298	33	46
64	328	291	34	47
65	325	287	34	47
66	327	287	35	48
67	327	281	35	48
68	328	285	35	48
69	329	295	36	48
70	327	292	35	48
71	327	289	35	48
72	325	290	34	49
73	323	291	34	49
74	322	292	34	50
75	319	286	35	50
76	316	281	36	50
77	314	281	38	51
78	311	284	38	51
79	310	285	38	51
80	310	282	38	51
81	311	282	38	52
82	311	282	37	51
83	314	280	37	50
84	313	278	36	49
85	313	277	36	49
86	309	279	37	49
87	307	281	38	50
88	303	284	39	51
89	302	287	40	52
90	300	286	39	52
91	299	285	38	52
92	303	282	38	53
93	304	280	38	52
94	306	280	38	52
95	308	281	38	52
96	309	283	38	52
97	310	285	39	52
98	311	288	40	52
99	311	287	39	52
100	311	285	39	52
101	311	283	39	52
102	312	286	39	53
103	313	291	39	53
104	312	289	39	53
105	316	287	39	54
106	316	286	39	54
107	311	284	39	54
108	310	284	39	54
109	312	280	39	55
110	314	278	39	55
111	316	283	39	55
112	316	286	39	55
113	316	286	39	56
114	315	285	39	56
115	314	285	39	56
116	314	285	40	57
117	311	283	40	57
118	309	282	40	57
119	309	284	40	57
120	308	284	40	57
121	309	286	41	57
122	305	284	41	57
123	306	276	41	57
124	307	269	41	57
125	306	272	41	57
126	307	279	42	58
127	305	281	42	58
128	306	280	42	59
129	306	278	42	59
130	308	281	42	60
131	310	283	42	60
132	309	282	42	61
133	311	283	42	61
134	313	283	42	62
135	311	281	43	63
136	311	282	43	63
137	312	281	43	63
138	312	281	43	63
139	311	281	44	63
140	309	281	44	63
141	307	281	44	64
142	306	283	44	64
143	305	283	45	64
144	305	284	45	64
145	306	285	45	64
146	307	286	46	65
147	306	283	46	65
148	308	283	46	65
149	309	282	46	65
150	309	281	46	66
151	309	279	46	66
152	308	281	47	66
153	308	281	47	66
154	308	280	47	67
155	306	283	47	67
156	305	282	47	67
157	305	282	48	68
158	304	280	48	68
159	304	279	48	68
160	303	278	48	68
161	301	278	49	68
162	300	277	49	68
163	300	275	49	68
164	299	280	49	68
165	299	285	50	68
166	297	284	50	68
167	298	284	50	68
168	298	284	50	68
169	298	283	50	68
170	298	283	51	69
171	297	283	51	70
172	297	281	51	71
173	296	281	51	70
174	296	281	51	70
175	296	282	52	70
176	296	283	52	70
177	297	285	52	70
178	296	284	53	70
179	297	279	52	70
180	298	280	52	70
181	299	282	52	70
182	300	283	51	69
183	302	284	51	69
184	303	283	50	69
185	304	282	50	69
186	303	281	51	71
187	302	280	52	73
188	302	280	54	75
189	303	279	53	72
190	304	280	52	70
191	306	286	51	68
192	304	285	50	67
193	304	287	49	66
194	305	289	49	66
195	305	288	48	65
196	306	289	48	65
197	306	288	47	64
198	306	287	47	63
199	305	286	47	63
200	304	286	46	62
201	303	288	46	62
202	301	291	46	61
203	302	297	45	61
204	303	294	45	60
205	304	291	45	60
206	305	293	44	59
207	306	296	44	58
208	308	299	44	58
209	307	299	44	58
210	306	294	44	59
211	306	293	45	60
212	309	295	44	58
213	309	292	44	57
214	310	292	44	56
215	309	295	44	55
216	309	302	44	54
217	309	302	43	56
218	309	297	43	58
219	309	297	43	60
220	309	297	43	59
221	309	298	43	58
222	312	299	43	57
223	312	299	43	57
224	313	299	43	56
225	313	299	43	55
226	314	300	43	55
227	314	301	42	54
228	315	302	42	54
229	317	301	41	54
230	317	302	41	54
231	316	299	41	53
232	316	301	40	53
233	316	302	40	53
234	316	304	40	53
235	314	304	39	52
236	313	304	39	52
237	312	305	39	52
238	313	306	39	51
239	312	306	39	51
240	312	305	39	51
241	312	304	38	50
242	313	304	38	50
243	314	303	38	50
244	315	306	38	49
245	313	308	38	49
246	312	308	38	49
247	309	309	37	48
248	308	310	37	48
249	308	309	37	48
250	308	308	36	48
251	308	306	36	47
252	307	308	36	47
253	308	305	35	47
254	308	305	35	47
255	311	307	35	47
256	310	307	35	47
257	310	307	36	47
258	310	307	36	47
259	310	307	37	47
260	310	307	38	48
261	310	308	37	47
262	310	309	36	46
