frame	x	y	width	height
2	328	308	22	31
3	329	305	22	31
4	329	305	22	31
5	327	308	23	33
6	325	310	23	33
7	325	306	23	33
8	324	305	23	33
9	325	305	23	33
10	321	306	23	33
11	318	306	23	33
12	318	302	24	34
13	322	300	23	33
14	323	304	23	33
15	325	311	23	33
16	324	309	23	33
17	324	309	23	33
18	326	308	23	33
19	329	306	23	33
20	328	308	24	34
21	329	313	24	34
22	329	314	24	34
23	332	313	25	36
24	331	313	25	36
25	329	310	25	36
26	327	311	25	36
27	324	310	25	36
28	323	310	25	36
29	323	312	25	36
30	322	310	25	36
31	319	310	27	38
32	319	308	28	40
33	318	307	28	40
34	318	308	28	40
35	319	308	28	40
36	321	309	28	40
37	322	313	28	40
38	323	316	28	40
39	324	313	28	40
40	324	311	28	40
41	326	311	28	40
42	326	310	28	40
43	326	310	28	40
44	322	311	28	40
45	320	315	28	40
46	320	316	28	40
47	319	315	29	42
48	318	313	29	42
49	317	314	29	42
50	316	313	29	42
51	317	309	29	42
52	320	305	29	42
53	320	305	29	42
54	319	304	29	42
55	322	307	29	42
56	322	304	31	44
57	324	304	31	44
58	326	305	31	44
59	327	308	31	44
60	331	306	31	44
61	330	300	33	46
62	331	297	33	46
63	332	300	33	46
64	331	293	33	46
65	329	290	33	46
66	329	288	33	46
67	330	284	33	46
68	331	286	33	46
69	331	296	33	46
70	331	295	33	46
71	331	291	33	46
72	327	290	34	48
73	325	294	34	48
74	323	292	36	50
75	322	287	36	50
76	318	282	36	50
77	318	282	36	50
78	315	286	36	50
79	314	287	36	50
80	314	283	36	50
81	314	283	36	50
82	314	283	36	50
83	317	282	36	50
84	317	280	36	50
85	315	279	36	50
86	312	280	36	50
87	310	283	36	50
88	306	286	36	50
89	306	288	36	50
90	304	288	36	50
91	304	287	36	50
92	305	284	36	50
93	308	281	36	50
94	309	282	36	50
95	311	282	36	50
96	312	284	38	53
97	311	284	40	56
98	312	286	40	56
99	313	288	40	56
100	313	285	40	56
101	312	284	40	56
102	313	286	40	56
103	314	291	40	56
104	314	291	40	56
105	316	286	40	56
106	317	286	40	56
107	313	286	40	56
108	312	285	40	56
109	313	281	40	56
110	316	280	40	56
111	317	285	40	56
112	317	288	40	56
113	318	288	40	56
114	317	287	40	56
115	315	287	40	56
116	316	286	40	56
117	314	286	40	56
118	311	284	40	56
119	312	285	40	56
120	311	288	40	56
121	311	289	40	56
122	308	286	41	58
123	309	278	41	58
124	309	270	41	58
125	308	273	41	58
126	308	279	41	58
127	308	284	41	58
128	309	282	41	58
129	308	281	41	58
130	311	282	41	58
131	314	287	41	58
132	313	287	41	58
133	315	287	41	58
134	315	286	41	58
135	314	285	41	58
136	312	284	44	61
137	313	285	44	61
138	314	284	44	61
139	315	283	44	61
140	312	283	44	61
141	311	284	44	61
142	310	285	44	61
143	309	285	44	61
144	308	285	44	61
145	308	286	44	61
146	309	287	44	61
147	310	287	44	61
148	312	285	44	61
149	313	286	44	61
150	313	285	44	61
151	313	284	44	61
152	312	285	44	61
153	313	286	44	61
154	313	285	44	61
155	309	285	46	64
156	308	284	46	64
157	309	284	46	64
158	309	284	46	64
159	309	282	46	64
160	308	280	46	64
161	307	280	46	64
162	306	280	46	64
163	303	277	48	68
164	303	282	48	68
165	303	287	48	68
166	302	288	48	68
167	301	287	48	68
168	302	287	48	68
169	302	287	48	68
170	302	286	48	68
171	302	285	48	68
172	301	284	48	68
173	301	283	48	68
174	301	283	48	68
175	301	283	48	68
176	301	285	48	68
177	301	288	48	68
178	301	287	48	68
179	301	281	48	68
180	302	283	48	68
181	303	284	48	68
182	304	285	48	68
183	304	286	48	68
184	306	285	48	68
185	307	284	48	68
186	309	284	48	68
187	308	283	48	68
188	308	283	48	68
189	309	282	48	68
190	310	283	48	68
191	311	287	48	68
192	308	287	48	68
193	307	288	48	68
194	308	290	48	68
195	309	290	48	68
196	310	288	48	68
197	309	287	48	68
198	309	286	48	68
199	308	287	48	68
200	308	286	48	68
201	306	288	48	68
202	303	290	48	68
203	304	297	46	64
204	305	294	46	64
205	306	290	46	64
206	307	291	46	64
207	308	297	46	64
208	310	298	46	64
209	310	298	46	64
210	309	294	46	64
211	309	294	46	64
212	311	294	46	64
213	312	293	46	64
214	312	293	46	64
215	311	296	46	64
216	310	300	46	64
217	310	300	46	64
218	311	297	46	64
219	310	295	46	64
220	310	296	46	64
221	311	297	46	64
222	312	296	46	64
223	313	296	46	64
224	315	298	44	61
225	316	298	44	61
226	316	299	44	61
227	316	299	44	61
228	316	300	44	61
229	317	299	44	61
230	317	299	44	61
231	316	297	44	61
232	316	297	44	61
233	316	300	44	61
234	316	301	44	61
235	314	302	44	61
236	314	301	44	61
237	313	303	41	58
238	312	305	41	58
239	313	306	40	56
240	312	305	40	56
241	313	305	40	56
242	313	303	40	56
243	316	303	40	56
244	317	308	38	53
245	316	309	38	53
246	314	308	38	53
247	311	309	38	53
248	310	312	36	50
249	311	312	36	50
250	310	308	36	50
251	310	308	36	50
252	310	308	38	53
253	310	304	38	53
254	310	304	38	53
255	311	305	38	53
256	312	307	38	53
257	312	307	38	53
258	311	305	38	53
259	311	307	36	50
260	312	306	36	50
261	313	307	36	50
262	313	307	36	50
263	312	308	36	50
264	312	308	36	50
265	313	305	36	50
266	314	306	36	50
267	315	307	36	50
268	316	309	36	50
269	316	305	36	50
270	316	302	36	50
271	316	303	36	50
272	315	303	36	50
273	314	304	36	50
274	313	305	36	50
275	313	306	36	50
276	313	306	36	50
277	313	304	36	50
278	312	302	36	50
279	312	305	34	48
280	311	307	34	48
281	311	308	34	48
282	311	308	34	48
283	312	308	34	48
284	312	307	34	48
285	314	309	33	46
286	315	307	33	46
287	314	307	33	46
288	315	308	33	46
289	317	311	33	46
290	318	316	33	46
291	318	314	33	46
292	319	307	33	46
