frame	PSR
2	4.80683
3	4.94561
4	4.35771
5	4.61317
6	4.47626
7	4.62104
8	4.45019
9	4.33601
10	4.25698
11	4.29003
12	3.89715
13	3.91465
14	4.41099
15	4.75368
16	4.53786
17	4.85765
18	4.8092
19	4.72398
20	4.68688
21	4.67364
22	4.35875
23	4.51866
24	4.33096
25	4.08712
26	4.45142
27	4.64107
28	4.53164
29	4.25703
30	4.52122
31	4.52711
32	4.60719
33	4.41233
34	4.40353
35	4.52192
36	4.58475
37	4.39608
38	4.47541
39	4.49702
40	4.73115
41	4.49449
42	4.7931
43	4.22286
44	4.52849
45	4.48254
46	4.49757
47	4.24931
48	4.71645
49	4.63324
50	4.42923
51	4.70294
52	4.61081
53	4.21825
54	4.73969
55	4.53836
56	4.65586
57	4.59047
58	4.45837
59	4.36975
60	4.36804
61	4.57284
62	4.42537
63	4.45053
64	4.44892
65	4.49724
66	4.41507
67	4.28391
68	4.33308
69	4.02493
70	4.31104
71	4.41451
72	4.33265
73	4.27124
74	4.39461
75	4.47332
76	4.27797
77	4.52664
78	4.55264
79	4.02186
80	3.81999
81	4.48585
82	4.44459
83	4.49241
84	4.73279
85	4.56189
86	4.82744
87	4.80533
88	4.35348
89	4.70158
90	4.77341
91	4.7053
92	4.78474
93	4.67801
94	4.69182
95	4.65185
96	4.37826
97	4.26499
98	4.42547
99	4.43479
100	4.21696
101	4.41683
102	2.68016
103	2.67838
104	3.08372
105	3.10914
106	2.67692
107	3.80393
108	2.90335
109	3.33661
110	3.69226
111	3.35484
112	3.38023
113	3.85518
114	3.80743
115	3.64798
116	3.81996
117	3.62761
118	3.71648
119	3.58545
120	3.658
121	3.95807
122	3.37678
123	3.70171
124	3.83932
125	3.42298
126	4.03465
127	4.11026
128	3.83589
129	3.58619
130	3.50109
131	3.86612
132	3.99088
133	4.06048
134	4.1651
135	3.61243
136	3.53786
137	3.84089
138	3.61802
139	3.90192
140	3.49516
141	3.90969
142	4.07806
143	3.96643
144	4.04559
145	3.91832
146	3.92528
147	3.79026
148	3.86892
149	3.81345
150	3.34135
151	3.74907
152	3.954
153	3.93637
154	3.9739
155	3.94895
156	3.69424
157	3.40407
158	3.60072
159	3.72088
160	3.51412
161	3.73315
162	3.57188
163	2.90843
164	3.9555
165	3.89131
166	4.05206
167	3.72911
168	3.55519
169	3.5672
170	3.61859
171	3.67289
172	3.68776
173	3.82084
174	3.93177
175	3.92073
176	3.83341
177	3.50573
178	3.61531
179	3.73378
180	3.4984
181	3.53507
182	3.39631
183	3.28967
184	3.20011
185	3.14591
186	3.28159
187	3.26258
188	3.18087
189	3.334
190	2.99932
191	3.81988
192	3.78792
193	3.76043
194	3.86209
195	3.86041
196	3.50141
197	3.66418
198	3.19035
199	3.36334
200	3.60322
201	3.56617
202	3.62908
203	3.6222
204	3.40387
205	3.81143
206	4.119
207	3.96922
208	4.11223
209	4.12695
210	3.93567
211	3.79728
212	3.88498
213	4.01155
214	4.16337
215	3.93458
216	3.90704
217	3.53503
218	3.63172
219	4.19438
220	3.80024
221	4.04842
222	3.70507
223	4.15701
224	4.22391
225	4.39247
226	4.1927
227	4.29091
228	4.31517
229	4.31775
230	4.3461
231	4.02579
232	3.92753
233	4.04439
234	4.2257
235	3.99534
236	4.15541
237	4.29469
238	4.28157
239	3.81153
240	3.89205
241	4.19089
242	4.0226
243	3.84181
244	3.85076
245	4.41488
246	4.28899
247	4.31534
248	4.32116
249	4.58527
250	4.29957
251	4.32454
252	4.50401
253	4.31636
254	3.79603
255	4.06153
256	4.04966
257	3.55839
258	3.94676
259	4.20284
260	4.53115
261	4.51087
262	4.43846
263	4.11339
264	4.37378
265	4.31487
266	4.35726
267	4.1414
268	4.25632
269	4.31937
270	4.20102
271	3.63329
272	4.00984
273	4.52941
274	4.48747
275	4.36493
276	4.25449
277	4.23346
278	4.54593
279	4.42948
280	4.34629
281	4.44135
282	4.36968
283	4.37043
284	4.44422
285	4.14583
286	4.70773
287	4.51611
288	4.27214
289	4.29022
290	4.31937
291	4.25382
292	4.41024
293	3.81088
294	3.71362
295	3.68056
296	3.74773
297	3.33961
298	3.47144
299	4.19702
300	4.45488
301	4.23814
302	4.28685
303	4.43219
304	4.35718
305	4.20326
306	4.21623
307	3.89843
308	4.11134
309	4.43176
310	4.34958
311	3.61435
312	4.27086
313	4.32719
314	4.46673
315	4.41869
316	4.03803
317	4.46287
318	4.49
319	4.43061
320	4.37511
321	4.37998
322	4.1623
323	4.38237
324	3.89217
325	3.51682
326	3.817
327	3.82567
328	4.00039
329	2.99687
330	3.90435
331	3.96408
332	3.88631
333	4.17835
334	4.08554
335	4.20021
336	3.91013
337	3.86644
338	3.94883
339	4.35322
340	4.08549
