frame	ave_fps
2	57.8464
3	53.366
4	48.9364
5	51.1023
6	52.351
7	51.7639
8	55.6593
9	59.333
10	62.6132
11	65.5172
12	68.0538
13	65.4715
14	67.6091
15	69.4312
16	70.8098
17	72.4816
18	74.0045
19	75.45
20	76.4398
21	77.6701
22	78.8711
23	76.7655
24	77.5564
25	78.4622
26	79.3394
27	80.1652
28	81.0469
29	81.8072
30	82.5973
31	83.27
32	83.9532
33	84.6421
34	85.3038
35	85.9021
36	86.4712
37	86.9938
38	87.4894
39	87.9565
40	88.4716
41	88.9843
42	89.43
43	89.8089
44	90.1178
45	90.4527
46	89.9632
47	90.2856
48	90.3951
49	90.7271
50	90.5853
51	90.7908
52	89.7634
53	89.9571
54	90.2594
55	90.5571
56	90.89
57	91.1999
58	91.4688
59	91.747
60	92.012
61	92.2876
62	92.0947
63	91.9846
64	92.2336
65	92.5008
66	92.7341
67	92.901
68	93.1683
69	93.3734
70	93.5867
71	93.7807
72	94.0003
73	94.1914
74	94.3575
75	94.5487
76	94.6765
77	94.8996
78	95.054
79	95.2476
80	95.4459
81	95.5974
82	95.8137
83	95.2076
84	95.3234
85	95.4744
86	95.4211
87	95.4591
88	95.6031
89	95.6637
90	95.7925
91	95.335
92	94.6414
93	93.2409
94	93.3734
95	92.7621
96	91.9996
97	91.8787
98	90.8254
99	90.9251
100	90.1026
101	90.1424
102	90.3024
103	90.3139
104	89.9812
105	89.7795
106	89.7897
107	89.7822
108	89.9135
109	90.0723
110	89.3108
111	89.0689
112	88.7014
113	88.5958
114	88.3261
115	87.9192
116	88.0436
117	88.1816
118	87.9793
119	87.8142
120	87.4459
121	87.582
122	87.7436
123	87.8874
124	88.0302
125	88.1962
126	88.3484
127	88.4952
128	88.652
129	88.8044
130	88.3046
131	88.4321
132	88.5672
133	88.7151
134	88.7846
135	88.9102
136	89.0536
137	89.1982
138	89.342
139	89.4695
140	89.6045
141	89.7432
142	88.7239
143	88.6878
144	88.7644
145	88.5199
146	87.9789
147	87.9608
148	88.0674
149	88.1016
150	88.05
151	88.1803
152	88.179
153	88.2929
154	88.3476
155	88.0235
156	88.1256
157	88.2218
158	88.3287
159	88.3823
160	88.4921
161	88.3528
162	88.4644
163	88.5742
164	88.1917
165	88.2643
166	88.3497
167	88.4438
168	88.554
169	88.6684
170	88.7646
171	88.8663
172	88.9819
173	89.0872
174	89.1822
175	89.2882
176	89.3886
177	89.4778
178	89.5771
179	89.689
180	89.7791
181	89.879
182	89.9617
183	90.0519
184	90.1407
185	90.1969
186	90.2732
187	90.2292
188	89.9164
189	90.0023
190	90.0906
191	90.1738
192	90.2534
193	89.9583
194	89.9206
195	89.9877
196	90.0662
197	90.1666
198	90.2469
199	90.3422
200	90.4141
201	90.4935
202	90.5634
203	90.3834
204	90.4255
205	90.4925
206	90.582
207	90.6669
208	90.722
209	90.8026
210	90.8718
211	90.9369
212	91.017
213	91.1008
214	91.1626
215	91.2387
216	91.1472
217	90.9236
218	90.9735
219	91.0603
220	91.1389
221	91.2173
222	91.247
223	91.3031
224	91.3564
225	91.4267
226	91.5029
227	91.5644
228	91.6376
229	91.7028
230	91.7207
231	91.7865
232	91.4349
233	91.4653
234	91.5295
235	91.5868
236	91.6539
237	91.7226
238	91.2455
239	91.3161
240	91.3775
241	91.169
242	91.2007
243	91.2624
244	91.3306
245	91.3936
246	91.4701
247	91.5374
248	91.6066
249	91.6695
250	91.7359
251	91.7937
252	91.8642
253	91.9289
254	91.9784
255	92.0469
256	92.0966
257	92.1549
258	92.219
259	92.281
260	92.3524
261	92.4038
262	92.3405
263	92.3702
264	92.3868
265	92.2307
266	92.2751
267	92.3274
268	92.3736
269	92.2692
270	92.1199
271	92.1748
272	92.2362
273	92.2781
274	92.3319
275	92.3774
276	92.4349
277	92.4899
278	92.5393
279	92.4951
280	92.405
281	92.4221
282	92.4772
283	92.4367
284	92.4881
285	92.4461
286	92.4776
287	92.4654
288	92.4557
289	92.4207
290	92.4731
291	92.1347
292	92.0309
293	92.0369
294	91.9924
295	91.9992
296	91.9916
297	92.0265
298	92.0734
299	92.1306
300	92.1866
301	92.2496
302	92.295
303	92.3362
304	92.3796
305	92.3051
306	92.0987
307	92.1443
308	92.1876
309	92.1888
310	92.2487
311	92.1768
312	92.2252
313	92.2851
314	92.3341
315	92.0994
316	92.1275
317	92.17
318	92.2212
319	92.2796
320	92.3362
321	92.3886
322	92.4454
323	92.4996
324	92.5516
325	92.6046
326	92.6679
327	92.7229
328	92.7705
329	92.8296
330	92.8836
331	92.9357
332	92.9898
333	93.0479
334	93.1038
335	93.1512
336	93.0473
337	93.0928
338	93.1319
339	93.1441
340	93.1845
