frame	x	y	width	height
1	286	252	43	45
2	280	248	51	53
3	282	248	47	56
4	284	249	47	54
5	285	250	48	52
6	283	250	50	54
7	283	251	48	52
8	283	253	46	51
9	282	258	47	50
10	284	263	44	48
11	279	265	45	46
12	276	257	48	54
13	275	259	51	56
14	278	267	49	51
15	272	264	52	56
16	273	267	50	52
17	276	266	49	55
18	275	267	51	53
19	279	274	39	41
20	273	271	51	54
21	277	271	49	53
22	277	272	46	44
23	279	275	42	42
24	272	265	54	57
25	275	269	47	54
26	279	271	38	45
27	273	266	53	56
28	275	268	48	54
29	275	272	50	55
30	275	272	46	48
31	271	269	50	54
32	273	275	47	55
33	273	277	44	51
34	269	274	48	52
35	271	272	48	56
36	272	273	47	51
37	275	278	45	47
38	274	279	43	46
39	274	272	46	50
40	273	276	47	50
41	277	278	40	43
42	275	269	50	59
43	273	271	46	53
44	272	272	48	52
45	270	267	51	56
46	270	268	50	56
47	269	264	50	56
48	267	268	49	56
49	268	266	47	52
50	267	267	51	55
51	266	266	52	56
52	269	269	47	52
53	271	274	42	41
54	266	270	51	52
55	263	266	55	62
56	264	264	51	61
57	263	267	51	53
58	263	272	50	48
59	264	267	50	57
60	259	266	55	60
61	262	268	51	55
62	262	273	45	45
63	256	274	45	44
64	253	268	51	56
65	253	266	55	61
66	255	274	48	50
67	248	268	62	65
68	246	268	56	59
69	243	267	61	65
70	243	266	54	61
71	239	267	56	59
72	241	268	54	59
73	241	268	50	57
74	239	269	52	57
75	239	267	51	60
76	236	264	52	57
77	237	268	54	59
78	238	265	52	58
79	240	267	53	59
80	250	278	41	46
81	242	268	55	59
82	243	271	52	55
83	244	269	54	58
84	246	268	53	58
85	246	270	55	57
86	247	272	54	57
87	242	266	57	61
88	245	270	53	60
89	250	275	44	47
90	245	270	49	56
91	244	272	51	56
92	243	267	54	57
93	242	270	52	55
94	239	267	53	59
95	241	271	52	58
96	240	266	53	61
97	237	263	54	63
98	239	268	45	48
99	234	257	55	65
100	235	271	44	52
101	239	272	41	48
102	252	296	38	43
103	269	311	38	42
104	283	319	39	43
105	307	328	34	44
106	331	339	40	47
107	354	341	37	46
108	362	338	34	41
109	361	336	35	44
110	364	335	40	45
111	368	330	38	46
112	370	319	38	47
113	375	321	38	47
114	378	320	35	48
115	371	318	40	47
116	370	321	37	48
117	370	322	37	47
118	368	323	40	48
119	366	324	35	47
120	362	325	38	47
121	362	327	37	49
122	361	329	41	47
123	356	329	37	44
124	353	328	38	47
125	349	324	36	45
126	338	318	36	48
127	335	316	37	46
128	336	321	35	47
129	338	322	37	46
130	335	323	39	46
131	333	317	36	47
132	331	314	40	53
133	329	316	42	51
134	334	318	34	42
135	326	311	44	52
136	322	300	48	57
137	318	301	46	54
138	319	302	43	57
139	313	308	49	55
140	304	315	46	51
141	301	314	48	54
142	299	312	52	59
143	303	313	48	57
144	305	317	40	50
145	304	316	46	52
146	306	311	44	51
147	307	306	42	49
148	309	300	45	53
149	307	301	43	48
150	310	294	42	44
151	311	289	49	53
152	312	289	48	57
153	310	289	52	55
154	315	291	45	51
155	313	291	49	52
156	312	287	47	56
157	313	281	58	60
158	316	282	50	53
159	322	281	44	52
160	322	282	44	48
161	320	280	47	54
162	328	279	42	42
163	322	269	53	58
164	324	271	42	50
165	322	271	45	52
166	324	270	42	52
167	325	267	45	55
168	322	263	53	60
169	327	268	44	46
170	327	264	48	55
171	329	264	48	54
172	329	266	46	51
173	329	267	48	54
174	327	265	56	59
175	331	265	47	57
176	332	268	41	43
177	333	267	41	45
178	332	264	41	43
179	329	257	45	51
180	330	250	49	51
181	332	246	46	53
182	332	246	49	58
183	333	241	50	59
184	336	238	52	58
185	339	242	47	50
186	341	241	50	54
187	352	250	36	43
