frame	x	y	width	height
2	285	252	43	45
3	285	252	43	45
4	287	254	43	45
5	286	254	43	45
6	286	258	43	45
7	286	257	43	45
8	286	260	43	45
9	285	262	43	45
10	285	263	43	45
11	281	267	43	45
12	280	266	43	45
13	280	267	43	45
14	279	268	43	45
15	279	269	43	45
16	278	270	43	45
17	279	271	43	45
18	278	271	43	45
19	278	271	43	45
20	279	274	43	45
21	279	274	43	45
22	279	273	43	45
23	280	272	43	45
24	279	273	43	45
25	280	272	43	45
26	279	272	43	45
27	278	272	43	45
28	278	272	43	45
29	278	274	43	45
30	278	273	43	45
31	275	273	43	45
32	275	278	45	47
33	274	278	45	47
34	273	277	45	47
35	273	278	45	47
36	272	278	45	47
37	275	279	45	47
38	274	280	45	47
39	274	277	45	47
40	273	276	45	47
41	276	277	45	47
42	276	276	45	47
43	276	273	45	47
44	276	272	45	47
45	276	270	43	45
46	277	272	43	45
47	273	269	43	45
48	272	269	43	45
49	272	269	43	45
50	271	270	43	45
51	271	271	45	47
52	270	270	45	47
53	269	270	45	47
54	270	270	45	47
55	269	271	45	47
56	268	271	45	47
57	268	270	45	47
58	266	271	45	47
59	265	270	45	47
60	264	270	45	47
61	264	270	45	47
62	263	270	45	47
63	259	271	45	47
64	258	271	45	47
65	258	271	45	47
66	257	271	45	47
67	255	273	45	47
68	254	272	45	47
69	249	272	45	47
70	248	271	45	47
71	247	272	45	47
72	246	271	45	47
73	244	271	45	47
74	243	271	45	47
75	242	271	45	47
76	241	269	45	47
77	241	270	45	47
78	241	270	45	47
79	243	272	45	47
80	247	274	45	47
81	246	273	45	47
82	247	272	45	47
83	248	273	45	47
84	249	273	45	47
85	250	274	45	47
86	250	274	45	47
87	251	274	45	47
88	249	273	45	47
89	248	274	45	47
90	248	274	45	47
91	247	274	45	47
92	247	274	45	47
93	246	274	45	47
94	245	273	45	47
95	244	273	45	47
96	244	273	45	47
97	241	271	45	47
98	240	270	45	47
99	239	266	45	47
100	236	270	45	47
101	237	271	45	47
102	247	288	45	47
103	263	307	45	47
104	280	314	45	47
105	297	323	45	47
106	320	333	45	47
107	348	335	45	47
108	356	333	45	47
109	356	332	45	47
110	359	333	45	47
111	363	325	45	47
112	366	318	45	47
113	370	318	45	47
114	372	319	45	47
115	367	317	45	47
116	367	320	45	47
117	366	322	45	47
118	366	324	43	45
119	363	325	43	45
120	361	326	43	45
121	361	326	43	45
122	360	329	43	45
123	354	330	43	45
124	352	329	43	45
125	346	327	43	45
126	337	322	43	45
127	333	317	43	45
128	334	320	43	45
129	337	323	43	45
130	336	321	43	45
131	332	320	43	45
132	332	319	43	45
133	332	319	43	45
134	332	318	43	45
135	333	315	43	45
136	327	310	43	45
137	323	306	43	45
138	322	309	43	45
139	319	314	43	45
140	309	318	43	45
141	305	320	43	45
142	306	321	43	45
143	308	321	43	45
144	307	321	43	45
145	308	319	43	45
146	309	315	43	45
147	311	309	43	45
148	312	305	43	45
149	312	304	43	45
150	315	296	43	45
151	318	295	43	45
152	318	294	43	45
153	319	294	43	45
154	320	294	43	45
155	320	294	43	45
156	321	291	43	45
157	323	288	43	45
158	325	287	43	45
159	325	285	43	45
160	327	282	43	45
161	327	281	43	45
162	328	275	43	45
163	329	275	43	45
164	329	275	43	45
165	328	274	43	45
166	328	274	43	45
167	329	273	43	45
168	331	272	43	45
169	332	269	43	45
170	335	268	43	45
171	337	268	43	45
172	337	270	43	45
173	337	270	43	45
174	337	270	43	45
175	337	269	43	45
176	336	268	43	45
177	338	267	43	45
178	336	265	43	45
179	336	260	43	45
180	339	254	43	45
181	339	252	43	45
182	340	248	43	45
183	343	249	43	45
184	345	244	43	45
185	348	245	43	45
186	351	246	43	45
187	353	247	43	45
188	356	247	43	45
189	358	247	41	43
190	358	245	41	43
191	359	249	41	43
192	359	245	41	43
193	360	245	41	43
194	361	245	41	43
195	362	246	41	43
196	363	245	41	43
197	364	245	41	43
198	367	245	41	43
199	368	245	41	43
200	369	245	41	43
201	369	244	41	43
202	369	245	41	43
203	367	244	41	43
204	369	240	41	43
205	371	238	41	43
206	371	238	41	43
207	371	240	41	43
208	371	243	41	43
209	370	245	41	43
210	368	245	41	43
211	365	250	41	43
212	367	249	41	43
213	363	253	41	43
214	359	253	41	43
215	359	250	41	43
216	358	247	41	43
217	359	246	41	43
218	356	243	41	43
219	355	244	41	43
220	352	245	41	43
221	349	245	41	43
222	346	242	41	43
223	344	242	41	43
224	343	241	41	43
225	343	240	41	43
226	340	240	41	43
227	341	239	41	43
228	341	239	41	43
229	341	238	41	43
230	341	237	41	43
231	342	234	41	43
232	343	232	41	43
233	344	230	41	43
234	344	229	41	43
235	345	227	41	43
236	345	227	41	43
237	346	227	41	43
238	346	227	41	43
239	346	226	41	43
240	346	226	41	43
241	346	226	41	43
242	346	224	41	43
243	348	222	41	43
244	348	221	39	41
245	349	221	39	41
246	349	220	39	41
247	349	219	39	41
248	349	218	39	41
249	349	218	39	41
250	349	217	39	41
251	350	216	39	41
252	350	218	39	41
253	350	217	39	41
254	351	216	39	41
255	351	215	39	41
256	352	215	39	41
257	354	217	39	41
258	361	218	39	41
259	363	219	39	41
260	363	224	39	41
261	359	233	39	41
262	358	233	39	41
263	355	235	39	41
264	350	238	39	41
265	349	238	39	41
266	349	238	39	41
267	349	239	39	41
268	350	240	39	41
269	350	241	39	41
270	349	242	39	41
271	350	241	39	41
272	351	240	39	41
273	351	240	39	41
274	350	241	39	41
275	350	241	39	41
276	354	242	37	39
277	355	240	37	39
278	355	239	37	39
279	357	238	37	39
280	356	237	37	39
281	357	237	37	39
282	358	236	37	39
283	360	237	37	39
284	360	238	37	39
285	364	238	37	39
286	364	238	37	39
287	366	237	37	39
288	366	239	39	41
289	367	239	39	41
290	367	239	39	41
291	369	239	39	41
292	369	239	39	41
293	373	242	39	41
294	374	242	39	41
295	376	243	39	41
296	379	244	39	41
297	381	243	39	41
298	384	238	39	41
299	385	238	39	41
300	385	239	39	41
301	386	238	39	41
302	387	237	39	41
303	387	237	39	41
304	387	236	39	41
305	388	236	39	41
306	388	236	39	41
307	390	235	39	41
308	390	233	39	41
309	389	233	39	41
310	389	233	39	41
311	386	233	39	41
312	387	233	39	41
313	386	236	39	41
314	385	237	39	41
315	386	236	39	41
316	387	235	39	41
317	387	235	39	41
318	386	236	39	41
319	387	236	39	41
320	386	236	39	41
321	386	236	39	41
322	387	234	39	41
323	387	235	39	41
324	387	233	39	41
325	386	237	39	41
326	387	231	39	41
327	388	228	39	41
328	388	227	39	41
329	372	235	39	41
330	368	238	39	41
331	366	237	39	41
332	364	237	39	41
333	363	237	39	41
334	363	236	39	41
335	363	237	39	41
336	363	238	39	41
337	363	236	39	41
338	361	236	39	41
339	360	237	39	41
340	361	235	39	41
